est_e,est_s,log_likelihood,log_likelihood_null
1e-08,1.0,-28.614649473954096,-28.614649473954096
1e-08,1.0,-27.299882145020035,-27.299882145020035
2.247104002197903e-05,1.0,-60.636786152031625,-60.63678614164609
1e-08,1.0,-12.623594011139735,-12.623594011139735
1e-08,1.0,-39.809334309619246,-39.809334309619246
4.235695205375e-06,1.0,-47.12106039686207,-47.11436527597328
1.3274896529203739e-05,1.0,-61.363111560783565,-61.36311155247045
1e-08,1.0,-28.30813017788426,-28.30813017788426
1.1825142446213527e-05,1.0,-40.38386676646561,-40.3838667639285
1e-08,1.0,-48.12214612753277,-48.12214612753277
2.2611784482441705e-05,1.0,-63.218494625411395,-63.21849461630743
1e-08,1.0,-40.240732097081214,-40.240732097081214
1e-08,1.0,-41.97850451458788,-41.97850451458788
1e-08,1.0,-45.14021340092071,-45.14021340092071
1e-08,1.0,-18.53975744546239,-18.53975744546239
1e-08,1.0,-37.856274578525166,-37.856274578525166
1e-08,1.0,-45.04202422367369,-45.04202422367369
1e-08,1.0,-41.61827414563502,-41.61827414563502
3.73664169879663e-05,1.0,-112.9084174637835,-112.90841749217297
1e-08,1.0,-26.259898820840135,-26.259898820840135
1e-08,1.0,-25.979913414154733,-25.979913414154733
1e-08,1.0,-16.87038811765669,-16.87038811765669
1e-08,1.0,-19.076712023200173,-19.076712023200173
1e-08,1.0,-27.86380089709929,-27.86380089709929
1e-08,1.0,-42.26399091468095,-42.26399091468095
1e-08,1.0,-43.621504744652974,-43.621504744652974
1e-08,1.0,-19.698829467544456,-19.698829467544456
1e-08,1.0,-44.59810193423548,-44.59810193423548
1.3101737535193629e-05,1.0,-35.99286915110808,-35.99286910533219
1e-08,1.0,-35.105560170355226,-35.105560170355226
1e-08,1.0,-40.60084861462519,-40.60084861462519
1e-08,1.0,-22.826263770327127,-22.826263770327127
1e-08,1.0,-28.414583537389678,-28.414583537389678
1e-08,1.0,-31.65688377967685,-31.65688377967685
1.1920795416572713e-05,1.0,-50.114814043647144,-50.11481404186428
1e-08,1.0,-36.18265670296742,-36.18265670296742
1e-08,1.0,-57.27489910363291,-57.27489910363291
1e-08,1.0,-45.69107066748489,-45.69107066748489
1e-08,1.0,-50.8577976114292,-50.8577976114292
1e-08,1.0,-38.10465630734094,-38.10465630734094
1e-08,1.0,-40.02629096341418,-40.02629096341418
1e-08,1.0,-13.406736447122316,-13.406736447122316
1e-08,1.0,-21.902377734367764,-21.902377734367764
1e-08,1.0,-27.879515554260582,-27.879515554260582
1e-08,1.0,-7.678062428403796,-7.678062428403796
1.1357230655502747e-05,1.0,-29.04008777333668,-29.04008786978648
1.1761933792066064e-05,1.0,-28.555341717462817,-28.555341723149184
1e-08,1.0,-48.653343506608785,-48.653343506608785
1e-08,1.0,-22.242694449837057,-22.242694449837057
1e-08,1.0,-47.764237825000976,-47.764237825000976
1e-08,1.0,-24.980285853286187,-24.980285853286187
1e-08,1.0,-15.70589174314615,-15.70589174314615
1e-08,1.0,-21.57451527648813,-21.57451527648813
1e-08,1.0,-19.792271070826825,-19.792271070826825
1.218032751605618e-05,1.0,-72.31730294626303,-72.31730286891268
1e-08,1.0,-24.522735478405888,-24.522735478405888
1e-08,1.0,-47.712392348990456,-47.712392348990456
1e-08,1.0,-14.477795332158067,-14.477795332158067
1e-08,1.0,-21.827235171870797,-21.827235171870797
1e-08,1.0,-13.624998057853505,-13.624998057853505
1e-08,1.0,-38.53493637952698,-38.53493637952698
1.3012131906118684e-05,1.0,-41.64159927199422,-41.64159926405968
3.300825707854204e-05,1.0,-87.71720346116618,-87.71720346109079
1e-08,1.0,-20.278649648948804,-20.278649648948804
1e-08,1.0,-24.737746279592976,-24.737746279592976
1e-08,1.0,-18.58506070994515,-18.58506070994515
1e-08,1.0,-39.63122274113934,-39.63122274113934
1e-08,1.0,-13.933204604995076,-13.933204604995076
1e-08,1.0,-35.149623052135,-35.149623052135
2.160374524174671e-05,1.0,-16.17549190573357,-16.175491894566804
3.089206539051368e-05,1.0,-52.8980478220755,-52.898047820337425
1e-08,1.0,-47.786770358430466,-47.786770358430466
1e-08,1.0,-29.68867998380154,-29.68867998380154
1e-08,1.0,-67.71410551134598,-67.71410551134598
1e-08,1.0,-28.564621266853223,-28.564621266853223
1e-08,1.0,-20.455733202642506,-20.455733202642506
1e-08,1.0,-29.205002522928396,-29.205002522928396
1e-08,1.0,-37.88693771930909,-37.88693771930909
1e-08,1.0,-13.820890209447162,-13.820890209447162
1e-08,1.0,-34.84248042151563,-34.84248042151563
1e-08,1.0,-15.454238971326484,-15.454238971326484
1e-08,1.0,-45.871092647799095,-45.871092647799095
1e-08,1.0,-25.475917307082888,-25.475917307082888
1e-08,1.0,-25.37734872327301,-25.37734872327301
1e-08,1.0,-6.5418497002146605,-6.5418497002146605
1e-08,1.0,-24.823723455425213,-24.823723455425213
1e-08,1.0,-28.17469174279156,-28.17469174279156
1e-08,1.0,-24.722832669514986,-24.722832669514986
3.1536621107431875e-06,1.0,-61.80215089327822,-61.80225041421068
1e-08,1.0,-55.14608361300569,-55.14608361300569
1e-08,1.0,-57.210731674115536,-57.210731674115536
1e-08,1.0,-27.015841561720357,-27.015841561720357
1e-08,1.0,-99.26629389090337,-99.26629389090337
1e-08,1.0,-82.31821780907983,-82.31821780907983
1e-08,1.0,-27.995706807882353,-27.995706807882353
1e-08,1.0,-57.97363651518197,-57.97363651518197
1.1678945318085284e-05,1.0,-144.51108690590294,-144.5110869115877
1.1848641355691057e-05,1.0,-61.091395094998994,-61.091395100662915
1e-08,1.0,-28.625525754997852,-28.625525754997852
1e-08,1.0,-16.080664564891478,-16.080664564891478
1e-08,1.0,-36.10138285311506,-36.10138285311506
1e-08,1.0,-36.98371208259994,-36.98371208259994
1.1831495023665956e-05,1.0,-44.657826687634106,-44.65782669329892
1e-08,1.0,-49.012086800842106,-49.012086800842106
1e-08,1.0,-61.59833031959019,-61.59833031959019
1e-08,1.0,-40.43685373314804,-40.43685373314804
1e-08,1.0,-14.393247043997443,-14.393247043997443
1e-08,1.0,-33.882177043547685,-33.882177043547685
1e-08,1.0,-24.73771874462046,-24.73771874462046
1e-08,1.0,-47.839509348492115,-47.839509348492115
2.6938129358399554e-05,1.0,-55.69700995658884,-55.697009953657115
1e-08,1.0,-42.989134714348495,-42.989134714348495
1e-08,1.0,-22.160485009067475,-22.160485009067475
1.5077162867455553e-05,1.0,-40.493819677924286,-40.49381970910618
