est_e,est_s,log_likelihood,log_likelihood_null
1e-08,1.0,-15.671828596523286,-15.671828596523286
1.1216543826430103e-05,0.9995494542354624,-24.586159185588187,-36.80706984142328
2.4325969919183677e-05,1.0,-65.59793916696685,-65.59793912303238
1.1813090352790034e-05,1.0,-40.37797820832061,-40.37797820564763
2.2416196074804844e-05,1.0,-32.94541668792923,-32.945416677058056
1e-08,1.0,-32.20682097291402,-32.20682097291402
1e-08,0.999961442542417,-21.736288171078545,-23.67505177372235
8.63954454910479e-06,0.9999907352077017,-26.39138429084288,-26.385869745872938
2.326414956773362e-05,1.0,-51.21652898319937,-51.21652897896049
1e-08,1.0,-35.94458136051151,-35.94458136051151
1e-08,1.0,-20.811673668007284,-20.811673668007284
2.251888115058137e-05,1.0,-36.5178820110258,-36.51788200087995
1e-08,1.0,-12.612160535838868,-12.612160535838868
1e-08,0.9999495143736941,-57.86444017527675,-70.84550651209247
2.297874092201417e-05,0.9999182843612848,-64.260167715264,-68.28350029754924
1e-08,0.9999593897650445,-29.369603984604577,-33.296398749780415
1e-08,1.0,-28.1107023019422,-28.1107023019422
1.1829616686017166e-05,1.0,-37.50446345041379,-37.504463447937354
1e-08,1.0,-27.2487501237545,-27.2487501237545
1e-08,1.0,-17.524273197399353,-17.524273197399353
2.6833246099167167e-05,1.0,-68.02218611324415,-68.02218611316567
1e-08,0.9998651957812545,-43.28818442363228,-46.28066163013151
1e-08,1.0,-37.635796922225886,-37.635796922225886
1e-08,1.0,-29.185856850646484,-29.185856850646484
1e-08,1.0,-10.349716255326241,-10.349716255326241
1e-08,1.0,-29.858875436064945,-29.858875436064945
1e-08,1.0,-18.8860334779349,-18.8860334779349
1e-08,1.0,-41.57058139938172,-41.57058139938172
1.2448910379327637e-05,1.0,-54.563945459674116,-54.56394539694406
1.2886952823769771e-05,0.9998032869011967,-38.06240533049302,-39.318806721919366
1e-08,1.0,-25.442306291519273,-25.442306291519273
2.2502168453925487e-05,1.0,-36.57905277323871,-36.579052762948805
1e-08,1.0,-13.60284475313165,-13.60284475313165
1.5191987580708405e-05,1.0,-61.003830219473514,-61.00383026253572
1.1307265503880063e-05,1.0,-43.426437040240494,-43.42643713757426
1.147939422464074e-05,0.9999151560615859,-50.46220482719921,-51.97935748093942
4.698814103922941e-05,1.0,-78.58195627936692,-78.58195627933316
1e-08,1.0,-45.127499220418755,-45.127499220418755
1e-08,1.0,-37.72814513302974,-37.72814513302974
1.1238985228984535e-05,1.0,-24.84517891724632,-24.845178916706107
7.524936297549814e-05,1.0,-99.36284832010863,-99.36284832009599
2.2482116300865147e-05,1.0,-28.83254776496613,-28.832547754655938
1e-08,1.0,-38.14199885375341,-38.14199885375341
1.1757805536868062e-05,1.0,-33.814911600345894,-33.81491160600708
1e-08,1.0,-9.59123441332047,-9.59123441332047
1e-08,1.0,-29.546774451261783,-29.546774451261783
2.2917365279220223e-05,1.0,-54.16590757402251,-54.16590756753722
1e-08,1.0,-26.961664109922733,-26.961664109922733
1.154916254630025e-05,1.0,-33.44978473414002,-33.4497847397446
1e-08,1.0,-19.01195820654926,-19.01195820654926
1e-08,1.0,-7.1854578653023715,-7.1854578653023715
2.3586765623538158e-05,1.0,-39.01529667177985,-39.01529667181252
1.1732413114088274e-05,1.0,-38.170237100696134,-38.17023710640411
1e-08,1.0,-11.157408990361645,-11.157408990361645
1e-08,1.0,-28.497026560820814,-28.497026560820814
1e-08,1.0,-34.634427026653526,-34.634427026653526
1.1412240377107152e-05,1.0,-45.598440442666615,-45.59844053812441
1.1447557109459904e-05,1.0,-22.689716545437783,-22.689716545138655
1e-08,1.0,-37.96436625798707,-37.96436625798707
1e-08,1.0,-33.32771625800001,-33.32771625800001
1e-08,1.0,-32.162902292271234,-32.162902292271234
1.2997910072155766e-05,1.0,-62.04162737817805,-62.041627380726396
1e-08,1.0,-5.853320304176138,-5.853320304176138
1e-08,1.0,-36.417588101065185,-36.417588101065185
1e-08,1.0,-21.69642867546392,-21.69642867546392
1.124759256057277e-05,1.0,-20.035951087212702,-20.035951185630054
1e-08,1.0,-12.314687444789511,-12.314687444789511
1e-08,1.0,-41.900333357147005,-41.900333357147005
1e-08,1.0,-19.793965209763375,-19.793965209763375
1e-08,1.0,-17.281325536952615,-17.281325536952615
