est_e,est_s,log_likelihood,log_likelihood_null
1e-08,1.0,-17.835114830121842,-17.835114830121842
4.736000239710612e-05,1.0,-69.94178040174874,-69.9417804016937
2.2430882731247155e-05,1.0,-29.21057394041761,-29.210573929713373
2.3468191653141527e-05,1.0,-47.87249724733751,-47.872497247318904
1e-08,1.0,-50.15652625590685,-50.15652625590685
1.1760692910016649e-05,1.0,-31.5956393631255,-31.595639368793197
1e-08,1.0,-17.431303955813714,-17.431303955813714
1.1425637688253918e-05,1.0,-33.40420162690135,-33.40420172212716
1e-08,1.0,-40.812288116238676,-40.812288116238676
2.2955352879966326e-05,1.0,-46.92518250235856,-46.925182496062874
1.1236823921256991e-05,1.0,-29.39682096395533,-29.39682096367162
1.1270362320743622e-05,1.0,-35.240994902663275,-35.24099500061582
1.1691795458763158e-05,1.0,-68.45646175946825,-68.45646176523073
5.044695392288821e-05,1.0,-119.55609176418389,-119.55609176419124
5.9518061691380555e-05,1.0,-81.23889897378983,-81.23889897593395
1.1963414851852561e-05,1.0,-30.763561216323822,-30.763561213556105
1e-08,1.0,-23.585879649891144,-23.585879649891144
1.2048590283642068e-05,1.0,-43.92709118717733,-43.92709110929016
2.2111214660103134e-05,1.0,-33.645524185802344,-33.64552414390188
1e-08,1.0,-29.353938768358233,-29.353938768358233
2.3401152464071812e-05,1.0,-39.83535422186861,-39.835354218145135
1e-08,1.0,-38.04566041162941,-38.04566041162941
1e-08,1.0,-10.181301394455646,-10.181301394455646
1e-08,1.0,-5.789912439791104,-5.789912439791104
1e-08,1.0,-8.233055784741493,-8.233055784741493
1e-08,1.0,-10.012297332699537,-10.012297332699537
1.122945322080825e-05,1.0,-33.09516215397705,-33.095162252689036
1e-08,1.0,-13.452706835613887,-13.452706835613887
1.18047594819258e-05,1.0,-68.80909716875446,-68.80909717451156
1e-08,1.0,-43.44602114660444,-43.44602114660444
1e-08,1.0,-36.74401739968398,-36.74401739968398
2.271238633445865e-05,1.0,-48.257155696988214,-48.25715568886307
1e-08,1.0,-44.82718052577013,-44.82718052577013
1e-08,1.0,-34.211203751813635,-34.211203751813635
2.126349294560462e-05,0.9999471779412771,-63.422925645914965,-102.39700806197916
1e-08,1.0,-35.07728525690865,-35.07728525690865
1.2325878888249792e-05,1.0,-41.04570728606846,-41.045707208993626
5.609220676496357e-05,1.0,-59.74355009205202,-59.74355009169606
1.2124597196848339e-05,0.999945892604271,-75.6666309408977,-91.94900281633258
1e-08,1.0,-10.186563090758185,-10.186563090758185
2.2972933472363798e-05,1.0,-67.39919778161132,-67.39919777556607
1e-08,1.0,-58.84788247826831,-58.84788247826831
1.1249227548424309e-05,1.0,-29.797859362449053,-29.797859460798694
3.3830988512904825e-05,1.0,-57.672613275444746,-57.67261327496819
1e-08,1.0,-24.17290954866522,-24.17290954866522
1e-08,1.0,-15.08123394403028,-15.08123394403028
4.690329045587048e-05,1.0,-64.26895976159037,-64.26895977872596
1.1250329630080466e-05,1.0,-33.41236216289233,-33.412362261230776
1e-08,1.0,-19.974842719487693,-19.974842719487693
1e-08,1.0,-13.756651081072585,-13.756651081072585
1.1790363180461818e-05,1.0,-52.90340607226086,-52.903406077970644
1e-08,1.0,-11.66591207937927,-11.66591207937927
1.1540769137448184e-05,1.0,-59.40728024173685,-59.40728024177333
2.348238195400557e-05,1.0,-87.56122676455946,-87.56122676706534
1e-08,1.0,-34.065909654638645,-34.065909654638645
1e-08,1.0,-44.415646420015044,-44.415646420015044
1e-08,1.0,-13.462454412206785,-13.462454412206785
1.148031099889921e-05,1.0,-30.226653455732006,-30.226653549985926
1e-08,0.9999126064986151,-27.471156796992233,-29.353494692038147
1e-08,1.0,-65.76267624422266,-65.76267624422266
1.1579561525746083e-05,1.0,-34.10550165737618,-34.10550166299929
2.2785935953135862e-05,1.0,-47.129459909390555,-47.129459903008915
1e-08,0.9999510742237022,-22.610129853959926,-23.816068929216986
1e-08,1.0,-26.64183288109137,-26.64183288109137
1.2521896549556625e-05,1.0,-40.96058464676748,-40.96058458307159
1.1684575557946621e-05,1.0,-55.698943927027926,-55.69894393269334
8.217598876913855e-05,1.0,-123.07686379715211,-123.07686379713603
1e-08,1.0,-18.599155990334346,-18.599155990334346
1e-08,1.0,-11.902798986359711,-11.902798986359711
3.529922684242897e-05,1.0,-68.48581449356018,-68.48581449354958
1e-08,1.0,-56.74486943044081,-56.74486943044081
2.480767111206802e-05,1.0,-66.73222780588956,-66.73222780643283
1e-08,1.0,-31.87383797713745,-31.87383797713745
1.1639987222595903e-05,1.0,-62.11278007417135,-62.11278007981948
1.2591309402598018e-05,1.0,-58.15547109906851,-58.155471039582864
2.519037816274993e-05,1.0,-76.00851969108552,-76.00851965623747
4.498655325121792e-05,1.0,-55.42480917115397,-55.42480917035215
1.3052969076703516e-05,1.0,-50.83647392146117,-50.83647392146178
5.6573314421102614e-05,1.0,-73.37796543531775,-73.37796543520845
3.455547587456723e-06,0.9997224614136682,-75.78151927332387,-78.09672410396642
2.5801870859624426e-05,1.0,-28.459314661879606,-28.45931466704465
4.537043572609531e-05,1.0,-55.823895909487945,-55.82389590947267
1e-08,1.0,-20.75508526573774,-20.75508526573774
1e-08,1.0,-10.090680116640646,-10.090680116640646
1e-08,1.0,-39.76734409601039,-39.76734409601039
1e-08,1.0,-26.66134288836877,-26.66134288836877
2.2704761784078413e-05,1.0,-46.23473881146841,-46.2347388031471
1.154973327318277e-05,1.0,-45.58540766213222,-45.58540766774832
1e-08,1.0,-20.569079170857098,-20.569079170857098
1e-08,1.0,-12.354510856902715,-12.354510856902715
2.3266568012871056e-05,1.0,-54.748436121795024,-54.74843611760236
1e-08,1.0,-29.754819424497082,-29.754819424497082
1e-08,1.0,-14.276960451606326,-14.276960451606326
1e-08,1.0,-23.289004994576263,-23.289004994576263
1e-08,1.0,-17.382654705722658,-17.382654705722658
1e-08,0.9999567369860265,-42.09400692931514,-69.05319835498271
1.1689138738098842e-05,1.0,-71.17934366423799,-71.1793436699031
1e-08,1.0,-32.811678385406985,-32.811678385406985
2.4657125033631463e-05,1.0,-62.38018593819113,-62.380185897061935
4.915252222277981e-05,1.0,-117.79886499998499,-117.79886500716734
3.3981878728185125e-05,1.0,-42.33616951035176,-42.33616951023401
1e-08,1.0,-22.6813160401747,-22.6813160401747
1e-08,1.0,-38.033071372527665,-38.033071372527665
1e-08,1.0,-40.812288116238676,-40.812288116238676
2.4954204332128917e-05,0.99983435466732,-81.97679394281731,-89.03289444721838
1e-08,1.0,-63.71556959286264,-63.71556959286264
3.4310952792287276e-05,1.0,-62.33691279413866,-62.33691279585747
1e-08,1.0,-44.98692525468713,-44.98692525468713
2.46072928757216e-05,1.0,-49.00387980789131,-49.0038797663981
1e-08,1.0,-32.01539250756966,-32.01539250756966
1e-08,1.0,-34.95636955900825,-34.95636955900825
1.2405412935477777e-05,0.9999170787019818,-35.40888386791945,-35.519144425484605
8.288542232413097e-05,1.0,-143.40178684145627,-143.40178684245444
2.42330755092603e-05,0.9999581692020669,-52.52600498611907,-56.93288843156908
2.451906468757876e-05,1.0,-64.80961653734485,-64.80961649561179
1.1512985358287524e-05,1.0,-39.73930790331943,-39.73930790894152
1.1444002597050519e-05,1.0,-52.18382976551984,-52.18382986040016
1.127188147943449e-05,1.0,-32.19049948883814,-32.19049958680109
1e-08,1.0,-10.178559696475816,-10.178559696475816
1e-08,1.0,-8.057040816962866,-8.057040816962866
1e-08,1.0,-16.001177538424965,-16.001177538424965
1e-08,1.0,-15.97265846028249,-15.97265846028249
1.1303093119119588e-05,1.0,-53.141033622545635,-53.14103371999254
1e-08,1.0,-45.227034977479185,-45.227034977479185
1e-08,1.0,-19.593267442592733,-19.593267442592733
1.1263387001066727e-05,1.0,-28.61051231885491,-28.610512416953263
2.2442053713370285e-05,1.0,-40.37860678778835,-40.37860677717823
1.162223861672266e-05,1.0,-37.106400384584376,-37.106400390241504
1e-08,1.0,-24.614663406108225,-24.614663406108225
1.1450125843604304e-05,1.0,-55.747223063951445,-55.74722315881571
1e-08,1.0,-34.397985828957175,-34.397985828957175
1e-08,1.0,-24.344762716383386,-24.344762716383386
1e-08,1.0,-35.557800838182416,-35.557800838182416
1e-08,1.0,-22.645056332656736,-22.645056332656736
1.2273123772770712e-05,1.0,-34.9900500576451,-34.990049980169594
4.525125263980387e-05,1.0,-63.898985723724174,-63.898985747824206
1e-08,1.0,-20.854839156869552,-20.854839156869552
2.3905953537215443e-05,1.0,-40.59663276182994,-40.59663276325204
1.1673272777050088e-05,1.0,-23.74434259721103,-23.744342602871594
2.3783621432054367e-05,1.0,-58.62554839800733,-58.62554839961743
1e-08,1.0,-21.77646897807954,-21.77646897807954
1e-08,1.0,-25.060877492251308,-25.060877492251308
2.2651642646339244e-05,1.0,-41.31904475238093,-41.31904474376609
1e-08,1.0,-23.704330663895117,-23.704330663895117
1e-08,1.0,-37.376180276594305,-37.376180276594305
1e-08,1.0,-5.799660308717454,-5.799660308717454
2.2965765528622722e-05,1.0,-70.40188920696374,-70.40188920078182
4.799964666706617e-05,1.0,-76.94233890131429,-76.94233891249984
2.9646278704071388e-05,0.9998951364722317,-59.88692114182312,-60.17636273782102
