est_e,est_s,log_likelihood,log_likelihood_null
1.1220980680481858e-05,1.0,-24.104497220975592,-24.104497319820645
1e-08,1.0,-8.578059887508743,-8.578059887508743
1e-08,1.0,-24.134134941717665,-24.134134941717665
1.2101482331172937e-05,1.0,-32.211969979914905,-32.21196989954393
1e-08,1.0,-30.762924895993546,-30.762924895993546
1e-08,1.0,-22.322197941621663,-22.322197941621663
1e-08,1.0,-36.2067843942919,-36.2067843942919
1e-08,1.0,-38.84645668500962,-38.84645668500962
1.342018373797149e-05,1.0,-37.208389409624026,-37.20838934990803
1e-08,1.0,-45.14727179174442,-45.14727179174442
1e-08,1.0,-17.52339153277978,-17.52339153277978
1e-08,1.0,-35.44041268881703,-35.44041268881703
1e-08,1.0,-17.613380132247542,-17.613380132247542
1e-08,1.0,-62.45954815746874,-62.45954815746874
1e-08,1.0,-24.607014086073644,-24.607014086073644
1.1593408074806482e-05,1.0,-47.41009000007275,-47.41009000572567
1e-08,1.0,-25.266299393878505,-25.266299393878505
1e-08,1.0,-36.07277007016731,-36.07277007016731
1e-08,1.0,-11.472764225687431,-11.472764225687431
1e-08,1.0,-29.25690850545809,-29.25690850545809
1.567373494793683e-05,1.0,-39.060732798616826,-39.06073280735368
2.5771051004259272e-05,1.0,-81.86322512783626,-81.86322513653741
1e-08,1.0,-26.091717577054585,-26.091717577054585
1e-08,1.0,-30.419595368228837,-30.419595368228837
1.2853197490976134e-05,1.0,-62.97342215711854,-62.97342215698837
2.4077883731006888e-05,1.0,-55.85195330520441,-55.851953263679725
1e-08,1.0,-22.094856276890642,-22.094856276890642
1e-08,1.0,-8.045688972994656,-8.045688972994656
1.3410168506328935e-05,1.0,-57.819305936673224,-57.819305913863964
1e-08,1.0,-26.28295188484948,-26.28295188484948
1e-08,1.0,-50.24362227187662,-50.24362227187662
1.14808924625026e-05,1.0,-26.71600455733572,-26.716004562938807
1e-08,1.0,-59.72184098179614,-59.72184098179614
1e-08,1.0,-47.86736092948514,-47.86736092948514
1e-08,1.0,-31.115779736447944,-31.115779736447944
1e-08,1.0,-29.3216584101618,-29.3216584101618
1e-08,1.0,-33.361796689919345,-33.361796689919345
1e-08,1.0,-27.875062881076307,-27.875062881076307
1e-08,1.0,-22.314264299289256,-22.314264299289256
1.530710371055347e-05,1.0,-47.62191186024775,-47.62191187549837
1e-08,1.0,-40.73576896783072,-40.73576896783072
1e-08,1.0,-37.78193567387297,-37.78193567387297
1e-08,1.0,-20.586845022647733,-20.586845022647733
1e-08,1.0,-26.118549469873262,-26.118549469873262
