est_e,est_s,log_likelihood,log_likelihood_null
1e-08,1.0,-86.01175408323395,-86.01175408323395
1e-08,1.0,-68.6732968382683,-68.6732968382683
2.3328755281867807e-05,1.0,-99.57717800264983,-99.57717799804122
1e-08,1.0,-17.755421019151928,-17.755421019151928
1.1986906588837954e-05,1.0,-35.54466041503621,-35.544660412466115
1e-08,1.0,-69.86214131328919,-69.86214131328919
1e-08,1.0,-78.33165976993276,-78.33165976993276
1e-08,1.0,-77.37324976365817,-77.37324976365817
1e-08,1.0,-120.16551039633939,-120.16551039633939
1e-08,1.0,-41.43191240539121,-41.43191240539121
1.1262568059956252e-05,1.0,-39.25633832647298,-39.256338424578075
1e-08,1.0,-40.90531152604557,-40.90531152604557
1e-08,1.0,-84.72203406604218,-84.72203406604218
1e-08,1.0,-58.23444766650712,-58.23444766650712
1e-08,0.9999609474972144,-24.44040329136759,-28.691113050653847
1e-08,1.0,-79.80642704801315,-79.80642704801315
1e-08,1.0,-64.51003668912702,-64.51003668912702
1e-08,1.0,-54.49443027092452,-54.49443027092452
1.4501684230658727e-05,1.0,-83.15615284983463,-83.156152910655
1e-08,1.0,-41.172395316702335,-41.172395316702335
1.1246111656147123e-05,1.0,-32.90566852671,-32.90566862512328
1e-08,1.0,-85.67405447347113,-85.67405447347113
1e-08,1.0,-59.940241034370025,-59.940241034370025
1.154641464096336e-05,1.0,-58.35414509886701,-58.3541450986314
1e-08,1.0,-66.54081970015905,-66.54081970015905
1e-08,1.0,-87.59377418967229,-87.59377418967229
1.1705103892844715e-05,1.0,-61.531944780706546,-61.53194478641295
1e-08,1.0,-19.909264484231475,-19.909264484231475
1e-08,1.0,-40.35859712064432,-40.35859712064432
1e-08,1.0,-45.1781048363697,-45.1781048363697
1e-08,1.0,-27.014816584255872,-27.014816584255872
1.1418251852174908e-05,1.0,-55.97769315742261,-55.97769325272451
1e-08,0.9999548387734076,-64.0082735553558,-65.56257931977873
1.1671481829638375e-05,1.0,-56.372918938297474,-56.37291893810295
1e-08,1.0,-34.00135580774451,-34.00135580774451
1.1312592055945819e-05,1.0,-39.486497334854924,-39.48649743208084
1e-08,1.0,-60.77947237188656,-60.77947237188656
1.1373715707738013e-05,1.0,-46.474498998343854,-46.4744990944912
1e-08,1.0,-52.027071318935086,-52.027071318935086
1e-08,1.0,-48.874134091595295,-48.874134091595295
1.1228249616659057e-05,1.0,-27.245003403446134,-27.245003502166394
1e-08,1.0,-26.50907212194487,-26.50907212194487
1e-08,1.0,-18.057195140712725,-18.057195140712725
1e-08,1.0,-64.06638725741573,-64.06638725741573
1e-08,1.0,-25.632502543051785,-25.632502543051785
1e-08,1.0,-86.19275100645486,-86.19275100645486
1e-08,1.0,-40.20347959682888,-40.20347959682888
1e-08,1.0,-63.7198677851614,-63.7198677851614
1e-08,1.0,-38.15463146228959,-38.15463146228959
1e-08,1.0,-59.0803973711521,-59.0803973711521
1e-08,1.0,-52.61931794874139,-52.61931794874139
1e-08,1.0,-59.798221143707984,-59.798221143707984
1.518473016969214e-05,1.0,-80.5981856800364,-80.59818573607285
1e-08,1.0,-67.01569955947264,-67.01569955947264
1e-08,1.0,-31.72400313069609,-31.72400313069609
1e-08,1.0,-50.30344641438008,-50.30344641438008
1e-08,1.0,-36.90963236277803,-36.90963236277803
1.1636511003284084e-05,1.0,-62.31474551932099,-62.31474551910096
1e-08,1.0,-28.73773617986367,-28.73773617986367
1.3774610232136165e-05,1.0,-70.36416036162214,-70.3641602987464
1.125701209621194e-05,1.0,-41.67906790853828,-41.67906800675235
1.1713893065216525e-05,1.0,-50.211622714884285,-50.211622714715894
1e-08,1.0,-34.712293784305565,-34.712293784305565
5.798831934876903e-05,1.0,-82.91543678654448,-82.91543678669032
1e-08,1.0,-59.98177326327332,-59.98177326327332
1e-08,1.0,-48.76618453346283,-48.76618453346283
1e-08,1.0,-66.16951433237818,-66.16951433237818
1e-08,1.0,-73.58271223606597,-73.58271223606597
1e-08,1.0,-24.76384297010315,-24.76384297010315
1e-08,1.0,-65.62308495458363,-65.62308495458363
2.700334213364602e-05,1.0,-113.93697907472095,-113.93697907467225
1.2758735128593723e-05,1.0,-65.178850787754,-65.17885077845615
1e-08,1.0,-52.06266082332633,-52.06266082332633
1e-08,1.0,-78.3944908969083,-78.3944908969083
1e-08,1.0,-22.533912184119675,-22.533912184119675
1e-08,1.0,-43.052153449802866,-43.052153449802866
1e-08,1.0,-53.775503341090825,-53.775503341090825
1e-08,1.0,-35.825002794744805,-35.825002794744805
1.1430514081144276e-05,1.0,-53.41551656213459,-53.41551665729425
2.2735369636470576e-05,1.0,-58.429993800302654,-58.42999379248873
1e-08,1.0,-67.42329779812201,-67.42329779812201
1e-08,1.0,-39.4356577684545,-39.4356577684545
1e-08,1.0,-30.68442593904647,-30.68442593904647
3.553606591062981e-05,1.0,-62.9143295320428,-62.91432953316104
1e-08,1.0,-73.34535031146063,-73.34535031146063
1e-08,1.0,-29.973593836219163,-29.973593836219163
1e-08,1.0,-60.61103590803231,-60.61103590803231
1.1855858538149211e-05,1.0,-38.072938005294965,-38.07293800333854
1e-08,1.0,-96.37585852828288,-96.37585852828288
1e-08,1.0,-79.12300673563546,-79.12300673563546
1e-08,0.9999518478848202,-57.659601501989385,-59.450452967717744
1e-08,1.0,-41.172523064187835,-41.172523064187835
1e-08,1.0,-36.4003983987667,-36.4003983987667
1e-08,1.0,-71.32915046199183,-71.32915046199183
1e-08,1.0,-54.91300254356675,-54.91300254356675
