est_e,est_s,log_likelihood,log_likelihood_null
1e-08,1.0,-35.25609903409702,-35.25609903409702
1e-08,1.0,-43.77281032400794,-43.77281032400794
1.1274316582453333e-05,1.0,-45.50601198351262,-45.506012081409224
1e-08,1.0,-69.60882153528377,-69.60882153528377
2.294928317533021e-05,1.0,-76.23352140718104,-76.23352140092749
1e-08,1.0,-47.450998940106544,-47.450998940106544
1e-08,1.0,-48.94383686704851,-48.94383686704851
1.1599519158213229e-05,1.0,-67.42209447022333,-67.42209447588459
1.1848315532098951e-05,1.0,-44.333022465055144,-44.333022470734804
1e-08,1.0,-34.01068141269149,-34.01068141269149
1e-08,1.0,-25.152033214977315,-25.152033214977315
1e-08,1.0,-66.60572927046593,-66.60572927046593
1e-08,1.0,-38.61065710484142,-38.61065710484142
1.1338539372672965e-05,1.0,-49.29643190985221,-49.29643200662344
1e-08,1.0,-28.786246534126263,-28.786246534126263
1e-08,1.0,-55.174195021742634,-55.174195021742634
1e-08,1.0,-92.0312493222858,-92.0312493222858
3.365901455169901e-05,1.0,-76.92601107808204,-76.92601107963048
1e-08,1.0,-26.403187604917903,-26.403187604917903
1e-08,1.0,-41.715596321874735,-41.715596321874735
1.1621103253206186e-05,1.0,-40.57623857181226,-40.57623857750253
1e-08,1.0,-45.45019330099387,-45.45019330099387
1e-08,1.0,-26.801446030504874,-26.801446030504874
1e-08,1.0,-36.437667189477054,-36.437667189477054
1e-08,1.0,-26.780157604199797,-26.780157604199797
1e-08,1.0,-48.39194733659631,-48.39194733659631
1e-08,1.0,-70.52439669309885,-70.52439669309885
1e-08,1.0,-46.67051411483899,-46.67051411483899
1e-08,1.0,-74.65646001615345,-74.65646001615345
1e-08,1.0,-22.663049605850993,-22.663049605850993
1e-08,1.0,-46.42517587853012,-46.42517587853012
1e-08,1.0,-29.89429070142529,-29.89429070142529
1e-08,1.0,-67.13339563304552,-67.13339563304552
3.386784562978354e-05,1.0,-61.79362812020515,-61.7936281217672
1e-08,1.0,-36.5037035274302,-36.5037035274302
1e-08,1.0,-28.788346839158923,-28.788346839158923
1e-08,1.0,-38.64085699336117,-38.64085699336117
1e-08,1.0,-25.574594291631442,-25.574594291631442
1.1945494128100021e-05,1.0,-61.988088772792665,-61.988088770882925
1e-08,1.0,-50.69830281877982,-50.69830281877982
1e-08,1.0,-34.01404654163531,-34.01404654163531
1e-08,1.0,-40.498539843409034,-40.498539843409034
1e-08,1.0,-53.427661849593676,-53.427661849593676
1e-08,1.0,-27.12681523503948,-27.12681523503948
1e-08,1.0,-40.531079965005006,-40.531079965005006
1e-08,1.0,-39.56431097642569,-39.56431097642569
1e-08,1.0,-27.70089779579282,-27.70089779579282
1.6678532642204847e-05,1.0,-89.4902214737981,-89.49022147357293
1e-08,1.0,-54.27631445046293,-54.27631445046293
1e-08,1.0,-45.66500340544109,-45.66500340544109
1e-08,1.0,-50.40273880478987,-50.40273880478987
1e-08,1.0,-48.99492838462881,-48.99492838462881
1e-08,1.0,-68.98749334406487,-68.98749334406487
1e-08,1.0,-74.4393192719906,-74.4393192719906
1e-08,1.0,-38.683997031064784,-38.683997031064784
1.1576866452889699e-05,1.0,-49.62192152109267,-49.62192152671202
1e-08,1.0,-39.311883691573854,-39.311883691573854
1e-08,1.0,-30.638395304643737,-30.638395304643737
1e-08,1.0,-24.297899033071605,-24.297899033071605
1.1708362644465872e-05,1.0,-46.7085044374029,-46.70850444308748
1e-08,1.0,-64.13257312490653,-64.13257312490653
1e-08,1.0,-36.374229248118596,-36.374229248118596
1e-08,1.0,-50.69222883567372,-50.69222883567372
1e-08,1.0,-28.726285060754332,-28.726285060754332
1e-08,1.0,-30.80833386573763,-30.80833386573763
1e-08,1.0,-47.61852600973986,-47.61852600973986
1e-08,1.0,-63.18784467261051,-63.18784467261051
1e-08,1.0,-30.290298933005513,-30.290298933005513
1.1207912733603681e-05,1.0,-28.784556525170263,-28.78455662423785
1e-08,1.0,-45.66500340544109,-45.66500340544109
1e-08,1.0,-52.00821522387972,-52.00821522387972
1e-08,1.0,-60.749369738229966,-60.749369738229966
1e-08,1.0,-19.753800547231442,-19.753800547231442
1e-08,1.0,-80.34442069562176,-80.34442069562176
1e-08,1.0,-52.020509522886215,-52.020509522886215
1e-08,1.0,-37.197876273230094,-37.197876273230094
2.5406660655650036e-05,1.0,-67.64550429120824,-67.64550430329993
1e-08,1.0,-63.44361468099027,-63.44361468099027
1e-08,1.0,-43.59205804919549,-43.59205804919549
1e-08,1.0,-36.525268389089085,-36.525268389089085
1.141099615993539e-05,1.0,-42.263084681580224,-42.2630847770748
1.1338539372672965e-05,1.0,-49.29643190985221,-49.29643200662344
2.6849586826303523e-05,1.0,-77.22551742028095,-77.22551742714083
1e-08,1.0,-88.03957597131507,-88.03957597131507
1e-08,1.0,-41.92425846774993,-41.92425846774993
1e-08,1.0,-27.789096575379986,-27.789096575379986
1e-08,1.0,-55.945733889623675,-55.945733889623675
1e-08,1.0,-76.09582157736523,-76.09582157736523
1e-08,1.0,-80.55371825943182,-80.55371825943182
1e-08,1.0,-43.99783964398245,-43.99783964398245
1.1410086301035563e-05,1.0,-43.11753831019597,-43.11753840570974
1e-08,1.0,-66.2753504410938,-66.2753504410938
1e-08,1.0,-28.73585773147811,-28.73585773147811
1e-08,1.0,-61.808498845015535,-61.808498845015535
1e-08,1.0,-54.5643110938922,-54.5643110938922
1e-08,1.0,-59.33908661343387,-59.33908661343387
1e-08,1.0,-37.259173750847445,-37.259173750847445
1.1888268328525119e-05,1.0,-34.8383878055266,-34.83838772878351
1.1629133086215764e-05,1.0,-35.601275286426954,-35.60127529204887
1.1533254185954428e-05,1.0,-63.684421930148446,-63.6844219357785
1e-08,1.0,-51.30477661259226,-51.30477661259226
1e-08,1.0,-38.51004729263789,-38.51004729263789
1e-08,1.0,-53.933831206626785,-53.933831206626785
1.2371378390261575e-05,1.0,-61.94476648658607,-61.944766413887734
1e-08,1.0,-37.777986473689154,-37.777986473689154
1e-08,1.0,-36.9100157258765,-36.9100157258765
6.588539358225111e-05,1.0,-99.16803476938817,-99.16803476943682
1e-08,1.0,-31.784068330716845,-31.784068330716845
