est_e,est_s,log_likelihood,log_likelihood_null
1.2364592652920943e-05,1.0,-45.281688657290196,-45.28168859406891
1e-08,1.0,-11.638297138451303,-11.638297138451303
1e-08,1.0,-24.510569543147867,-24.510569543147867
3.0188978954201682e-05,1.0,-60.26153571509667,-60.26153571075997
1e-08,1.0,-33.23204910437966,-33.23204910437966
1e-08,1.0,-15.788220395517001,-15.788220395517001
1e-08,1.0,-28.903925648431223,-28.903925648431223
1.2966662213537513e-05,1.0,-63.19186217170354,-63.19186215257605
1e-08,1.0,-23.562371597714062,-23.562371597714062
1e-08,1.0,-12.842832378612462,-12.842832378612462
1e-08,1.0,-12.84194143155057,-12.84194143155057
1e-08,1.0,-47.06078099964323,-47.06078099964323
1e-08,0.9999696571707395,-17.092408128206014,-17.614061655762605
1e-08,0.9999160934597555,-21.828552431054568,-24.482139668379222
1e-08,1.0,-45.36873421261691,-45.36873421261691
1e-08,1.0,-10.920228229991528,-10.920228229991528
2.6336244368256814e-05,1.0,-57.23003726961455,-57.230037283305386
1e-08,1.0,-54.68962275365007,-54.68962275365007
1e-08,1.0,-18.721403835384827,-18.721403835384827
1.153550569894246e-05,1.0,-33.133322343540506,-33.13332234915951
1e-08,0.999965315353267,-38.73673608412256,-39.07289109289666
1e-08,1.0,-39.17267381899689,-39.17267381899689
0.0003776683941961558,0.9999543082780332,-370.1585887144721,-384.30140520031995
1e-08,1.0,-51.39730547260447,-51.39730547260447
1e-08,1.0,-26.503006821917758,-26.503006821917758
1e-08,1.0,-41.062404637151715,-41.062404637151715
1e-08,1.0,-29.130766274862335,-29.130766274862335
4.5182412564349744e-05,1.0,-93.4233685053845,-93.42336852961456
1e-08,1.0,-23.201503468232172,-23.201503468232172
2.251145276902882e-05,1.0,-49.22996861198383,-49.22996860203554
1e-08,1.0,-32.09776019100407,-32.09776019100407
1e-08,1.0,-53.584036845320696,-53.584036845320696
1.3052056536387667e-05,1.0,-78.25518602960499,-78.25518602416948
1e-08,1.0,-11.146336731157705,-11.146336731157705
2.4461754175334852e-05,1.0,-47.80060772239827,-47.80060767920611
1.3101346447398622e-05,1.0,-44.297081606455876,-44.29708158223857
1e-08,1.0,-17.37172427635949,-17.37172427635949
1e-08,1.0,-24.090667738488555,-24.090667738488555
1e-08,1.0,-33.20696047749268,-33.20696047749268
1e-08,1.0,-79.13213478433386,-79.13213478433386
1e-08,1.0,-20.16279306706018,-20.16279306706018
1e-08,1.0,-22.8630443838621,-22.8630443838621
1e-08,1.0,-24.893764490031447,-24.893764490031447
1e-08,1.0,-32.09205280258626,-32.09205280258626
1e-08,1.0,-6.273777536970289,-6.273777536970289
1e-08,1.0,-30.312651937385965,-30.312651937385965
1e-08,1.0,-30.663321947854485,-30.663321947854485
1.1536646533575071e-05,1.0,-54.19987881731165,-54.19987882290849
1e-08,1.0,-24.532119895950107,-24.532119895950107
1.1372516584284012e-05,1.0,-65.52040610801117,-65.52040620419876
3.4632280915384185e-05,1.0,-61.996796693849554,-61.99679669534986
1e-08,1.0,-19.33848625181894,-19.33848625181894
1e-08,1.0,-27.383105260335032,-27.383105260335032
1e-08,1.0,-27.644518340618173,-27.644518340618173
1.4245701577885127e-05,1.0,-71.1848896516595,-71.18488971768706
2.2386677530887275e-05,1.0,-29.69644046439417,-29.696440453228647
1e-08,1.0,-17.385017888798878,-17.385017888798878
1e-08,1.0,-6.441171527090041,-6.441171527090041
1e-08,1.0,-15.428555156726475,-15.428555156726475
1e-08,1.0,-15.478081215814548,-15.478081215814548
1.1385757245842073e-05,1.0,-45.37122233134365,-45.371222427284216
1.3698657208318633e-05,1.0,-59.211470762520925,-59.211470756500646
1e-08,1.0,-8.392608808159,-8.392608808159
1e-08,1.0,-33.43520397522842,-33.43520397522842
2.6139829990667048e-05,1.0,-63.120108816464914,-63.12010883408331
1e-08,1.0,-26.32664224830223,-26.32664224830223
1e-08,1.0,-34.22063674221777,-34.22063674221777
1e-08,1.0,-14.782135532501277,-14.782135532501277
1.407782312370538e-05,1.0,-52.61148589330493,-52.61148589980338
1e-08,1.0,-40.81960559931494,-40.81960559931494
