est_e,est_s,log_likelihood,log_likelihood_null
1e-08,1.0,-34.574485242242666,-34.574485242242666
1e-08,1.0,-16.056069284359438,-16.056069284359438
3.0832955075113933e-06,1.0,-69.4769483467687,-69.47827577896945
1.1193238043608174e-05,1.0,-18.37130868516928,-18.3713086847152
1.1198259242458101e-05,1.0,-19.023164243766402,-19.023164343019577
1e-08,1.0,-23.571537710967657,-23.571537710967657
1e-08,1.0,-20.94359271338401,-20.94359271338401
1e-08,1.0,-36.31951826028507,-36.31951826028507
2.0154745650628668e-06,1.0,-39.136806100550345,-39.136930112942515
1e-08,1.0,-45.37772656767446,-45.37772656767446
1.2508040903459367e-05,1.0,-37.04021983968453,-37.04021978146846
1.092977339580397e-05,1.0,-70.95192327330807,-70.9519232892573
1e-08,1.0,-28.281417333297497,-28.281417333297497
1e-08,1.0,-35.42730516873475,-35.42730516873475
1e-08,1.0,-50.806343913902595,-50.806343913902595
4.6280158273466027e-05,1.0,-58.978273286867925,-58.978273286860116
1e-08,1.0,-7.359781682721445,-7.359781682721445
1e-08,1.0,-47.8169897358588,-47.8169897358588
1e-08,1.0,-29.6439369336153,-29.6439369336153
1e-08,1.0,-57.14903484940803,-57.14903484940803
1e-08,1.0,-35.26402530826585,-35.26402530826585
1e-08,1.0,-6.995058821230631,-6.995058821230631
9.044094078076551e-05,1.0,-95.4465546110275,-95.44655461127975
0.00010154266531170853,0.9999945279083747,-124.4617545099653,-124.47123074159495
1e-08,1.0,-48.89891286549252,-48.89891286549252
1.1621162693048965e-05,1.0,-39.81608461068447,-39.816084616319756
1.2294162755100094e-05,1.0,-45.939031933958645,-45.93903187447702
8.267659007541429e-05,0.999868131223181,-115.38279202748993,-118.2772452329007
1e-08,1.0,-40.97319957238641,-40.97319957238641
1.1387505059572738e-05,1.0,-28.789704282734426,-28.789704378607407
1e-08,1.0,-35.95180819535555,-35.95180819535555
1e-08,1.0,-53.177949704362184,-53.177949704362184
1e-08,1.0,-51.03203742460339,-51.03203742460339
1e-08,1.0,-42.45510194547933,-42.45510194547933
1e-08,1.0,-29.066101839877017,-29.066101839877017
1e-08,1.0,-27.32997188131404,-27.32997188131404
1e-08,1.0,-24.555377217928793,-24.555377217928793
1e-08,1.0,-47.03744956388397,-47.03744956388397
1e-08,1.0,-11.058577491929473,-11.058577491929473
1.4606422218205545e-06,1.0,-27.621381944013606,-27.62139071461942
1e-08,1.0,-48.794892123915254,-48.794892123915254
1e-08,1.0,-33.19744142768205,-33.19744142768205
1e-08,1.0,-58.95035077540435,-58.95035077540435
1e-08,1.0,-33.63793497945296,-33.63793497945296
1e-08,1.0,-34.56743188937945,-34.56743188937945
1e-08,1.0,-41.49051204225329,-41.49051204225329
1.141569193326157e-05,1.0,-47.4966600383448,-47.49666013375354
1e-08,1.0,-63.63291520526975,-63.63291520526975
1e-08,1.0,-23.870921978082652,-23.870921978082652
1.2740495590032837e-05,1.0,-59.10965318378716,-59.109653169673244
1e-08,1.0,-40.87362317670834,-40.87362317670834
1e-08,1.0,-55.895882049284815,-55.895882049284815
1e-08,1.0,-32.1191188060724,-32.1191188060724
1e-08,1.0,-24.219023600936225,-24.219023600936225
1e-08,1.0,-31.110702741694027,-31.110702741694027
1e-08,1.0,-31.84484602081359,-31.84484602081359
1e-08,1.0,-23.052965150680595,-23.052965150680595
1e-08,1.0,-30.268960156622498,-30.268960156622498
