est_e,est_s,log_likelihood,log_likelihood_null,mmpp
1e-08,1.0,-24.209273174843158,-24.209273174843158,1.0
6.349727082237577e-05,0.9998232716389527,-121.94746353938211,-132.57837536499778,0.7360733545520824
1e-08,1.0,-37.823806194781824,-37.823806194781824,1.0
1e-08,1.0,-50.639323794516216,-50.639323794516216,1.0
1.2592750179262425e-05,1.0,-51.14526729258098,-51.145267257033865,0.9999999995282177
2.2587561847648405e-05,1.0,-47.57113424504243,-47.57113423581116,0.999999999999998
1e-08,1.0,-23.048870233905664,-23.048870233905664,1.0
1.1456765734334339e-05,1.0,-48.44976248822498,-48.4497625829146,1.0
1e-08,1.0,-10.84985754648339,-10.84985754648339,1.0
2.2485213404462886e-05,1.0,-49.32110306552615,-49.32110305533886,1.0
1.1230244447263991e-05,1.0,-26.987086160533917,-26.98708625919562,1.0
1e-08,1.0,-62.1827278898055,-62.1827278898055,1.0
3.9600114151452634e-05,1.0,-86.85348203846075,-86.85348204699294,1.0
1e-08,1.0,-17.13178801194381,-17.13178801194381,1.0
1e-08,1.0,-58.957663339565144,-58.957663339565144,1.0
1e-08,1.0,-25.64590110573077,-25.64590110573077,1.0
1e-08,1.0,-35.86922913985257,-35.86922913985257,1.0
0.00020016700125846776,0.9997112942874665,-206.35051111408137,-209.41921372700193,0.7262428085079373
1e-08,1.0,-51.961121268438006,-51.961121268438006,1.0
1e-08,1.0,-35.86922913985257,-35.86922913985257,1.0
