est_e,est_s,log_likelihood,log_likelihood_null
1e-08,1.0,-28.166712685539878,-28.166712685539878
1.2298631258838521e-05,1.0,-56.14024473786921,-56.140244660789605
1.1310942346414077e-05,1.0,-30.33308449757531,-30.333084594822296
1e-08,1.0,-19.68365759808326,-19.68365759808326
1.1508789650054514e-05,1.0,-46.846061809625,-46.84606180934099
1.1806074418735199e-05,1.0,-37.19433628730193,-37.1943362843098
1e-08,1.0,-27.857365146862158,-27.857365146862158
5.785693360526346e-05,0.9999520495582008,-92.8333818858571,-98.04933858897287
1e-08,1.0,-17.683317050347835,-17.683317050347835
1.2681859750497799e-05,1.0,-60.18044052731919,-60.18044050587117
1e-08,0.9999592241025435,-17.50870696058699,-18.623682652264357
1e-08,1.0,-31.98615967161245,-31.98615967161245
2.2469413137173206e-05,1.0,-45.060693279567445,-45.060693269212166
2.272660481342187e-05,1.0,-35.70375708225148,-35.70375707417773
1e-08,1.0,-7.18467731210311,-7.18467731210311
1e-08,1.0,-46.395372344868,-46.395372344868
2.3914187244731125e-05,1.0,-51.84257886009902,-51.84257886138268
2.271136111272973e-05,1.0,-37.59630630021795,-37.59630629213667
1.2260172501479898e-05,1.0,-48.37606110314826,-48.37606102561222
1e-08,1.0,-5.969327228425271,-5.969327228425271
1e-08,1.0,-25.53681130758682,-25.53681130758682
1.1356893178971205e-05,1.0,-27.329391897598036,-27.329391897271023
1e-08,1.0,-29.602265653592973,-29.602265653592973
1e-08,1.0,-25.507072851238227,-25.507072851238227
1e-08,1.0,-17.452489455088497,-17.452489455088497
1.1216735832615174e-05,1.0,-17.605371066805276,-17.60537116548394
1e-08,1.0,-26.744741655877064,-26.744741655877064
3.3618914854423726e-05,1.0,-45.79291452347908,-45.7929145232789
4.5317012733758567e-05,1.0,-50.57933817225179,-50.579338171843894
1.217373037384845e-05,1.0,-41.71172212357445,-41.71172204510915
1e-08,1.0,-22.015927084931985,-22.015927084931985
1e-08,0.99996069042126,-16.686503936785588,-17.621143315896965
1e-08,1.0,-27.571309284883522,-27.571309284883522
1e-08,1.0,-34.24540353052385,-34.24540353052385
1e-08,1.0,-10.766165671518678,-10.766165671518678
3.479471003204886e-05,1.0,-58.148002891069865,-58.148002892569885
1e-08,1.0,-13.149156340269474,-13.149156340269474
1.3766858419762617e-05,1.0,-48.13356902057135,-48.133569015179724
7.87014077785589e-05,1.0,-85.81151248092948,-85.81151249390436
1e-08,1.0,-11.840499538307355,-11.840499538307355
1.1795566290526392e-05,1.0,-18.200839877341675,-18.20083988299112
1e-08,1.0,-34.55831786929448,-34.55831786929448
1.1221232096105816e-05,1.0,-20.760046709024802,-20.760046807877618
2.2546967378577675e-05,1.0,-31.768777158992222,-31.768777149390335
2.2430726776859547e-05,1.0,-29.171153837045193,-29.17115382633708
3.3946558474565214e-05,1.0,-48.04744892592197,-48.04744892801703
2.3068616043329843e-05,1.0,-46.18452820153841,-46.18452819603928
2.3767582059202653e-05,1.0,-41.609370259588154,-41.609370261295766
1.1215983633305566e-05,1.0,-27.648558815824362,-27.648558914750293
1.3039344991215798e-05,1.0,-53.05313909295627,-53.05313901918427
1e-08,1.0,-32.1832920966078,-32.1832920966078
1.3376697736998916e-05,1.0,-69.00603428635623,-69.00603426118761
1e-08,1.0,-12.646315256037859,-12.646315256037859
1e-08,1.0,-23.066215279492614,-23.066215279492614
1.1304323939034246e-05,1.0,-22.72566153973293,-22.725661637097193
1.1285402836848261e-05,1.0,-42.679014108824695,-42.67901420653969
1e-08,1.0,-23.65707914848011,-23.65707914848011
2.2507150840335834e-05,1.0,-44.09909429026287,-44.09909428029452
1.1414373280032804e-05,1.0,-41.5342475664722,-41.534247661912104
1e-08,1.0,-26.22548766301896,-26.22548766301896
1e-08,1.0,-11.551301876565352,-11.551301876565352
1.2652651389391531e-05,0.9999581494383829,-49.37679917897918,-50.68605488301269
1e-08,0.9999330981705892,-36.36496132422433,-40.317014779138304
1.138574926880066e-05,1.0,-19.038984690514418,-19.038984786463608
1e-08,1.0,-27.61260554254023,-27.61260554254023
1e-08,1.0,-37.974841983085696,-37.974841983085696
2.2878449459716014e-05,1.0,-42.821740320951776,-42.82174031413399
4.513339469555116e-05,1.0,-61.72348247975414,-61.72348247942674
1.1487596099902287e-05,1.0,-33.189464721029786,-33.18946472074373
1e-08,1.0,-17.513135812716946,-17.513135812716946
1.2843276254151859e-05,1.0,-43.35664606999205,-43.35664607323165
1e-08,1.0,-25.51352468576253,-25.51352468576253
1.1211498396024763e-05,1.0,-22.134366967925228,-22.13436706694249
1e-08,0.9999592175457465,-29.124045639099624,-29.687367025475176
1e-08,1.0,-32.95233442669952,-32.95233442669952
1e-08,1.0,-27.93636613693988,-27.93636613693988
1.1239710451157025e-05,0.9999614622264112,-29.425175450337136,-31.85820095643584
1.189618873051194e-05,1.0,-24.699564716816553,-24.699564722468725
1e-08,1.0,-17.891781616710524,-17.891781616710524
3.435701555601045e-05,1.0,-53.655487473205916,-53.65548747475665
1e-08,0.9997188778703732,-29.312734025383882,-34.62836340108812
1.1650649414594405e-05,1.0,-38.948379714743275,-38.94837972041955
1e-08,1.0,-25.07194693451855,-25.07194693451855
1e-08,1.0,-33.337664051865325,-33.337664051865325
2.3864407045399665e-05,1.0,-65.5094225451845,-65.50942254644538
1e-08,1.0,-39.95441234332501,-39.95441234332501
1e-08,1.0,-7.024167274254589,-7.024167274254589
1e-08,1.0,-30.546301109706356,-30.546301109706356
1e-08,0.9999248405530251,-91.43748275677802,-102.01445839735905
1e-08,1.0,-51.371207405575134,-51.371207405575134
1e-08,1.0,-22.247253849261895,-22.247253849261895
1e-08,1.0,-18.893880439008782,-18.893880439008782
1e-08,1.0,-22.269599253677384,-22.269599253677384
1e-08,1.0,-12.797948222801162,-12.797948222801162
1.1318141340069864e-05,1.0,-46.673898735298174,-46.67389873489788
1.124125561221384e-05,1.0,-30.93851523487752,-30.938515234505065
1e-08,1.0,-20.408320160834766,-20.408320160834766
1e-08,1.0,-49.94970778900495,-49.94970778900495
1e-08,0.9999566991727628,-10.120834560089214,-12.289245394745539
1.1275363931735143e-05,1.0,-24.28978817096832,-24.289788268878116
1e-08,1.0,-30.81213454319525,-30.81213454319525
1e-08,1.0,-36.10428538446933,-36.10428538446933
0.00010318816507978276,1.0,-112.32498455577311,-112.32498456071036
1e-08,1.0,-22.069102752245787,-22.069102752245787
1e-08,1.0,-44.666715329916066,-44.666715329916066
1.1253606050238969e-05,1.0,-26.845137098844813,-26.845137098458107
1e-08,1.0,-27.279624215838425,-27.279624215838425
1e-08,1.0,-10.269856691710707,-10.269856691710707
1.220913309459986e-05,1.0,-31.901118228338227,-31.90111815104866
1.1214333533692194e-05,1.0,-21.10563367131124,-21.105633670924064
1.1233571593787358e-05,1.0,-28.199640619669086,-28.1996407182835
1e-08,1.0,-27.21414436726303,-27.21414436726303
1.130056537382025e-05,1.0,-31.420072741691794,-31.42007283914424
4.48746480659566e-05,1.0,-53.7273199136496,-53.72731988875257
2.309153023583926e-05,1.0,-56.62227984242019,-56.62227983709294
1e-08,1.0,-12.710974179504563,-12.710974179504563
2.6226345932105883e-05,1.0,-60.02405712040403,-60.024057136837094
1e-08,0.9999381337027503,-19.973251602137477,-21.944296935722235
1e-08,1.0,-18.049748665059848,-18.049748665059848
1.127622207348225e-05,1.0,-37.35680411991813,-37.35680421780327
5.629486404739253e-05,1.0,-68.03508353606037,-68.03508353638657
1e-08,1.0,-9.992911723777338,-9.992911723777338
2.3116113302993547e-05,1.0,-52.81786294354488,-52.81786293831587
2.2724633237097413e-05,1.0,-34.13052249801291,-34.13052248999345
1.1413958932832394e-05,1.0,-29.22783986758469,-29.227839963025314
1e-08,1.0,-41.14821496734035,-41.14821496734035
1e-08,1.0,-21.067639433066798,-21.067639433066798
2.2677166542264588e-05,1.0,-43.657483604884334,-43.65748359652131
1e-08,1.0,-10.339515266920554,-10.339515266920554
1e-08,1.0,-31.819159157876545,-31.819159157876545
1e-08,1.0,-19.6990586320495,-19.6990586320495
1e-08,1.0,-51.21946093976799,-51.21946093976799
2.2561318960358816e-05,1.0,-36.6402555885564,-36.64025557904276
1.1394129560208315e-05,1.0,-35.49991052473975,-35.499910620546345
1e-08,0.9998826323178446,-34.95423880893572,-36.57137676876879
1e-08,1.0,-31.813486330046075,-31.813486330046075
1e-08,1.0,-44.7986925264259,-44.7986925264259
1.1215965858485419e-05,1.0,-20.734378017263296,-20.734378017092045
1e-08,0.9992735576717887,-19.047556017529104,-24.477978005736787
2.3482710304337768e-05,1.0,-44.54330562393501,-44.54330562394709
1.128656280834121e-05,1.0,-40.427462025664276,-40.42746202534412
2.4298878959739495e-05,1.0,-66.06591466481689,-66.06591462107396
3.692795765945861e-05,1.0,-75.40945021507252,-75.40945021686662
1.3252134961797844e-05,1.0,-64.65708545347314,-64.6570854483891
1e-08,1.0,-20.23625718798427,-20.23625718798427
1.1901752157968894e-05,1.0,-44.54193631732222,-44.54193624225193
4.546874383128043e-05,1.0,-61.74053029334498,-61.740530293252185
1e-08,1.0,-33.36217894713344,-33.36217894713344
1e-08,1.0,-15.349143473793662,-15.349143473793662
1.1244670931922283e-05,1.0,-33.91493496344126,-33.914935061873194
1e-08,1.0,-38.29875081530244,-38.29875081530244
1e-08,1.0,-43.522872696554366,-43.522872696554366
1.1681937796084026e-05,1.0,-62.31640228633309,-62.316402291999594
1e-08,1.0,-28.3819753755803,-28.3819753755803
2.2822497035350184e-05,0.9999784195391923,-54.764338429105564,-54.89314172404457
1e-08,1.0,-18.992094697029287,-18.992094697029287
2.4406161060230236e-05,1.0,-63.60438647641643,-63.604386432573214
1e-08,1.0,-29.768070124984018,-29.768070124984018
1.2131108374239251e-05,1.0,-44.721911994159164,-44.72191190900041
1e-08,1.0,-12.994705747512354,-12.994705747512354
1e-08,1.0,-36.39316258147039,-36.39316258147039
1e-08,1.0,-15.11195064963975,-15.11195064963975
1e-08,1.0,-35.04668140293007,-35.04668140293007
1e-08,1.0,-10.757794496877654,-10.757794496877654
1e-08,0.9999420315545035,-31.684322781466907,-32.92638242371094
1.1543456787457666e-05,1.0,-26.85739263005216,-26.85739263564379
3.314598814124068e-05,1.0,-30.615318359817145,-30.615318360767734
1.4509490061926902e-05,1.0,-58.68812798998553,-58.688128050730654
1e-08,0.99987412641507,-24.410032725190288,-27.893744033971046
1e-08,1.0,-21.554495015298084,-21.554495015298084
1e-08,0.9998366473855672,-35.46150276966243,-45.95709272893597
1e-08,1.0,-15.97858099968986,-15.97858099968986
3.422031442057072e-05,1.0,-43.0548228289319,-43.05482282874673
1e-08,1.0,-25.532379418626928,-25.532379418626928
1e-08,1.0,-31.856350061544017,-31.856350061544017
1.1378583893914596e-05,1.0,-36.264815529918685,-36.26481562596136
1e-08,0.9999257225585784,-52.26703033168906,-54.42704348352133
1e-08,1.0,-11.735948075104956,-11.735948075104956
2.2516363741131483e-05,1.0,-51.458231415434625,-51.45823140554335
1e-08,1.0,-10.617402445175546,-10.617402445175546
4.6786073152887484e-05,1.0,-69.85518069655396,-69.85518071458647
1.1239292587602484e-05,1.0,-25.943824208272737,-25.94382430679764
