est_e,est_s,log_likelihood,log_likelihood_null,mmpp
1e-08,1.0,-36.912836436436265,-36.912836436436265,1.0
1e-08,1.0,-44.534875278838385,-44.534875278838385,1.0
1e-08,1.0,-12.040644310266726,-12.040644310266726,1.0
1.1364009606235219e-05,1.0,-32.060454653733736,-32.060454750058135,1.0
1e-08,1.0,-9.377346776792336,-9.377346776792336,1.0
1.1215887553078049e-05,1.0,-30.64232423390068,-30.64232433285617,1.0
1e-08,1.0,-38.82928647847742,-38.82928647847742,1.0
1e-08,1.0,-16.451035211230135,-16.451035211230135,1.0
1e-08,1.0,-24.95864312474057,-24.95864312474057,1.0
1e-08,1.0,-9.377346776792336,-9.377346776792336,1.0
1e-08,1.0,-22.583379762810463,-22.583379762810463,1.0
1.2100067580974541e-05,1.0,-48.55689170663668,-48.55689162785252,1.0
1e-08,1.0,-14.676162017434038,-14.676162017434038,1.0
1e-08,1.0,-54.972699763178404,-54.972699763178404,1.0
1.119973181458545e-05,1.0,-24.121421005931076,-24.12142110517296,1.0
1e-08,1.0,-77.75158246311308,-77.75158246311308,1.0
1e-08,1.0,-33.344309891160016,-33.344309891160016,1.0
2.2809954942297633e-05,1.0,-68.18000707141384,-68.18000706418174,1.0
1e-08,1.0,-16.39321759151967,-16.39321759151967,1.0
1e-08,1.0,-38.82928647847742,-38.82928647847742,1.0
