est_e,est_s,log_likelihood,log_likelihood_null
1.1397005954926095e-05,1.0,-47.464647835007675,-47.464647930770774
1.1294800580739245e-05,1.0,-33.66631767630443,-33.66631777384565
3.487124546559686e-05,1.0,-57.88573165917487,-57.88573166060779
1e-08,1.0,-18.365384324981548,-18.365384324981548
1e-08,1.0,-26.672455282047803,-26.672455282047803
2.2478079214173944e-05,1.0,-33.30141835134646,-33.301418341094426
3.5335901485045155e-05,1.0,-89.11114996992575,-89.11114997129472
1.1335336912458295e-05,1.0,-34.66174265983772,-34.66174275664881
1.170647365252528e-05,1.0,-48.461022127898076,-48.4610221335761
1e-08,1.0,-29.38282689393624,-29.38282689393624
4.807729319166792e-05,1.0,-83.97439709528145,-83.97439710719037
1e-08,1.0,-22.161702740276613,-22.161702740276613
3.369519194767831e-05,1.0,-54.53628196253668,-54.53628196403436
3.503908215221947e-05,1.0,-64.86570234154162,-64.86570234299651
4.505575891247543e-05,1.0,-64.51558612987803,-64.51558612937323
1.1584764896487607e-05,1.0,-67.47292554553962,-67.47292555110148
2.2554126925081984e-05,1.0,-29.699209435304468,-29.699209425771993
1e-08,1.0,-48.85537474243251,-48.85537474243251
1e-08,1.0,-26.007370051963022,-26.007370051963022
3.63612230050495e-05,1.0,-75.42661875443511,-75.42661875544869
1e-08,1.0,-38.48992791588895,-38.48992791588895
3.379214499800618e-05,1.0,-84.97259208923579,-84.97259209082634
4.512658854108086e-05,1.0,-66.96320242669357,-66.96320245084596
1e-08,0.9999529723718626,-21.237252660091578,-23.029930654683795
3.4251762384282056e-05,1.0,-54.652055345867446,-54.65205534743041
7.09381556687888e-05,1.0,-94.42437572591086,-94.42437572570334
4.69573733106064e-05,1.0,-53.11404007305213,-53.114040072869194
3.454223811489753e-05,1.0,-53.01753464395654,-53.01753464546834
3.366071797632948e-05,1.0,-48.093758929363844,-48.093758928969244
1e-08,0.9997947209923655,-21.722912493794546,-32.04136380437707
2.395539938821571e-05,1.0,-73.98588982844404,-73.98588982963733
2.258243041466218e-05,1.0,-48.58165609966101,-48.581656090427515
1.2225298681574857e-05,1.0,-82.20148087943164,-82.20148080143663
1e-08,1.0,-42.365356292415505,-42.365356292415505
1e-08,1.0,-29.169433549573366,-29.169433549573366
1.359236756619855e-05,0.9995044104824522,-87.09391632667334,-89.12294661359782
6.826503950205802e-05,1.0,-103.05501831680586,-103.05501831697718
1e-08,0.9999497420563037,-55.70588764089308,-55.91100133378485
1e-08,1.0,-60.808696614186516,-60.808696614186516
1.207027888689835e-05,1.0,-30.19628029070374,-30.19628021795427
1e-08,1.0,-46.19673742685263,-46.19673742685263
1e-08,1.0,-54.324314936963056,-54.324314936963056
1.1659494339411097e-05,1.0,-34.27041018275928,-34.2704101884177
1e-08,1.0,-35.11226713962203,-35.11226713962203
1e-08,1.0,-38.43255804871396,-38.43255804871396
3.368632962241469e-05,1.0,-46.52889045992157,-46.5288904615012
1.1251969283250184e-05,1.0,-30.37648996556589,-30.37649006389828
1.1759611513844996e-05,1.0,-44.566408226978474,-44.56640823261404
1.2139304714896453e-05,1.0,-62.403433706482765,-62.40343363097863
1e-08,1.0,-50.2308510975099,-50.2308510975099
1e-08,1.0,-40.851545551731704,-40.851545551731704
2.343183289140659e-05,1.0,-37.15671388124667,-37.156713881242524
1e-08,1.0,-48.96371724179726,-48.96371724179726
4.4888040798919745e-05,1.0,-63.80391895020319,-63.8039189488876
1.1817171335861122e-05,1.0,-49.702791667210995,-49.70279167286088
1e-08,1.0,-50.67725889925795,-50.67725889925795
3.453816216273018e-05,1.0,-63.325687507581975,-63.325687509056515
3.366677230101298e-05,1.0,-51.8432443268453,-51.843244326703775
1e-08,1.0,-18.07239888342716,-18.07239888342716
1.2097853874838118e-05,1.0,-61.5678671887549,-61.56786711152954
1e-08,1.0,-36.071995298753386,-36.071995298753386
2.278724345252745e-05,1.0,-53.86387635647765,-53.86387634896237
4.810056181588237e-05,1.0,-90.36504202595886,-90.36504202547194
1.1890325311740624e-05,1.0,-59.45278218439967,-59.45278219010235
5.7617698547845166e-05,1.0,-77.21511927038344,-77.21511928916414
1e-08,1.0,-40.92337827976999,-40.92337827976999
2.4555288855513376e-05,1.0,-71.42666182537661,-71.42666182244807
1e-08,1.0,-29.170858360617164,-29.170858360617164
1e-08,1.0,-16.096307824993254,-16.096307824993254
1.1767822719242277e-05,1.0,-44.681612418691465,-44.68161242437746
1.2883562517820063e-05,0.9999623184682142,-43.39401052113505,-44.2055437097139
2.5064754059247097e-05,0.9999459224855727,-59.69890917943495,-61.99402321017442
3.526224520470422e-05,1.0,-72.36519518819664,-72.36519518949065
1e-08,1.0,-38.502004812891464,-38.502004812891464
1e-08,1.0,-32.00788608006738,-32.00788608006738
1.1307970436142484e-05,1.0,-39.24868698440021,-39.24868708169898
3.469953161577513e-05,1.0,-69.79450797612603,-69.7945079761008
1e-08,1.0,-31.38213618091637,-31.38213618091637
2.3495814007942324e-05,1.0,-57.36581041484449,-57.365810414853115
1e-08,1.0,-19.60084273031468,-19.60084273031468
1e-08,1.0,-37.05402772802514,-37.05402772802514
4.879689954262323e-05,1.0,-99.3643993066287,-99.36439931499625
9.158122854443899e-05,1.0,-96.09264597161103,-96.09264597385535
1e-08,0.9998495457174068,-51.27664459931562,-56.003620655050376
4.5005578483553235e-05,1.0,-58.11740595671006,-58.117405956005435
3.457446743841241e-05,1.0,-69.4684085402489,-69.46840854172893
3.36744482954748e-05,1.0,-51.08489312674175,-51.08489312830885
1.135021911230051e-05,1.0,-40.80134505898172,-40.80134515553529
4.9882700440754396e-05,1.0,-106.858817564612,-106.85881756941717
1e-08,1.0,-18.354381710679952,-18.354381710679952
3.1136982123974555e-05,0.9999425295010236,-44.30999452998258,-52.590133599084936
1e-08,0.9999648058925004,-53.73539688319326,-54.80863746904984
1e-08,1.0,-39.94963684381025,-39.94963684381025
3.4222839933069e-05,1.0,-48.21119334882218,-48.21119335035376
3.374207871523126e-05,1.0,-57.406869256227665,-57.40686925599036
2.2603103679331576e-05,1.0,-45.114926474400235,-45.11492646530131
