est_e,est_s,log_likelihood,log_likelihood_null
1e-08,0.9999996921782334,-70.41062292910945,-70.41066140263092
1e-08,1.0,-14.205841400572481,-14.205841400572481
1e-08,1.0,-24.513174235285184,-24.513174235285184
1e-08,1.0,-47.35026850349181,-47.35026850349181
8.725687174500122e-06,1.0,-67.7122555319841,-67.70959009875624
1e-08,1.0,-18.615038838085102,-18.615038838085102
1e-08,1.0,-28.735574574309997,-28.735574574309997
1e-08,1.0,-51.25527673816208,-51.25527673816208
1e-08,1.0,-15.585107885685911,-15.585107885685911
1e-08,1.0,-46.211007307175436,-46.211007307175436
1e-08,1.0,-21.684876910837424,-21.684876910837424
1.2168138792382117e-05,1.0,-43.60410517920677,-43.60410509986912
1e-08,1.0,-24.304659399700338,-24.304659399700338
1e-08,1.0,-17.798815328618428,-17.798815328618428
1e-08,1.0,-45.270439094502606,-45.270439094502606
1e-08,1.0,-55.543381951540155,-55.543381951540155
1e-08,1.0,-28.049037404503803,-28.049037404503803
1e-08,1.0,-22.693266717069204,-22.693266717069204
1e-08,1.0,-50.08987421402449,-50.08987421402449
1e-08,1.0,-32.70496557658987,-32.70496557658987
1e-08,1.0,-52.21517620825333,-52.21517620825333
1e-08,1.0,-49.914078716686305,-49.914078716686305
2.3515090828403664e-05,1.0,-84.01303139362372,-84.01303139601194
1e-08,1.0,-20.294163847572232,-20.294163847572232
1e-08,1.0,-33.00941416271267,-33.00941416271267
1e-08,1.0,-14.609640870945084,-14.609640870945084
1e-08,1.0,-20.38618145512595,-20.38618145512595
1.1592026645456163e-05,1.0,-27.72314864082578,-27.723148646483974
1e-08,1.0,-40.5319782325713,-40.5319782325713
1e-08,1.0,-53.35475808521496,-53.35475808521496
1e-08,1.0,-15.92134285383043,-15.92134285383043
1e-08,1.0,-57.29934293806519,-57.29934293806519
1e-08,1.0,-47.543177866283386,-47.543177866283386
1.4197505488649736e-05,1.0,-57.0307088510531,-57.03070892107072
1e-08,1.0,-52.57063529455287,-52.57063529455287
1e-08,1.0,-14.381818721385109,-14.381818721385109
1e-08,1.0,-19.770252470313206,-19.770252470313206
1e-08,1.0,-20.73276642856177,-20.73276642856177
1e-08,1.0,-51.399047765997,-51.399047765997
1e-08,1.0,-30.374293273061216,-30.374293273061216
1e-08,1.0,-51.08743117149636,-51.08743117149636
1e-08,1.0,-53.81398041552231,-53.81398041552231
1e-08,1.0,-32.63252967729149,-32.63252967729149
1.15120680542933e-05,1.0,-33.704104183617396,-33.70410418922492
1e-08,1.0,-32.03826792481615,-32.03826792481615
1e-08,1.0,-20.38217937139767,-20.38217937139767
1e-08,1.0,-31.688094524400768,-31.688094524400768
1.3599884202422038e-05,1.0,-67.74742977701023,-67.74742978251541
1e-08,1.0,-38.7899755353265,-38.7899755353265
1e-08,1.0,-48.255906078502655,-48.255906078502655
1.1406793597311258e-05,1.0,-41.636581776640774,-41.63658187220688
1e-08,1.0,-29.112730375860984,-29.112730375860984
1e-08,1.0,-46.33711358310944,-46.33711358310944
1.3644017861325402e-05,1.0,-57.988509062650344,-57.98850899161978
1e-08,1.0,-63.84070896644316,-63.84070896644316
1e-08,1.0,-54.9337427257417,-54.9337427257417
2.951536426590361e-06,1.0,-60.628809153154656,-60.62568240448362
1e-08,1.0,-52.64694312417391,-52.64694312417391
1.4342927054266828e-05,1.0,-50.57733920414901,-50.57733926772169
1e-08,1.0,-57.15389682020581,-57.15389682020581
1e-08,1.0,-33.480901941593615,-33.480901941593615
1e-08,1.0,-46.91895988048702,-46.91895988048702
1e-08,1.0,-32.37914812006034,-32.37914812006034
1e-08,1.0,-11.189574780973844,-11.189574780973844
1e-08,1.0,-17.809230150031873,-17.809230150031873
2.5528101947777026e-05,1.0,-69.31126399252207,-69.31126400324605
1e-08,1.0,-33.41008417271393,-33.41008417271393
1e-08,1.0,-15.974627713524772,-15.974627713524772
1e-08,1.0,-35.92166984505339,-35.92166984505339
1.1402425431125868e-05,1.0,-34.07250312120786,-34.0725032168425
1e-08,1.0,-45.25765277671638,-45.25765277671638
1e-08,1.0,-54.96116630110862,-54.96116630110862
1e-08,1.0,-45.28421760399012,-45.28421760399012
1e-08,1.0,-70.0391418589266,-70.0391418589266
1.8228455025795714e-05,1.0,-67.08607214276944,-67.0860721626685
1e-08,1.0,-47.99073065201444,-47.99073065201444
1.3334906823651085e-05,1.0,-66.64918462188697,-66.64918461255232
1e-08,1.0,-28.977115803327862,-28.977115803327862
1e-08,1.0,-33.446787563073315,-33.446787563073315
1e-08,1.0,-30.636065374459267,-30.636065374459267
1e-08,1.0,-13.831130037375317,-13.831130037375317
1e-08,1.0,-60.51772174346766,-60.51772174346766
1e-08,1.0,-13.108406146868449,-13.108406146868449
1e-08,1.0,-23.30663512936899,-23.30663512936899
1e-08,1.0,-22.744129362772853,-22.744129362772853
1e-08,1.0,-15.440935191125366,-15.440935191125366
1e-08,1.0,-46.73808466189628,-46.73808466189628
1e-08,1.0,-71.77995814636891,-71.77995814636891
1e-08,1.0,-53.58920669936206,-53.58920669936206
1e-08,1.0,-20.754210504189924,-20.754210504189924
1e-08,1.0,-49.04930867374503,-49.04930867374503
1e-08,1.0,-42.019953170954,-42.019953170954
1.2945797512414473e-05,1.0,-72.48645664954716,-72.48645664898592
1e-08,1.0,-47.56813673566201,-47.56813673566201
1e-08,1.0,-19.034224725218014,-19.034224725218014
1e-08,1.0,-45.19544532787167,-45.19544532787167
1e-08,1.0,-23.871816019762296,-23.871816019762296
1e-08,1.0,-36.4699806025753,-36.4699806025753
1e-08,1.0,-33.71501465806614,-33.71501465806614
1e-08,1.0,-42.965431989566234,-42.965431989566234
1e-08,1.0,-35.35886380707188,-35.35886380707188
1e-08,1.0,-38.927671596022584,-38.927671596022584
1e-08,1.0,-17.463537143171507,-17.463537143171507
1e-08,1.0,-21.13188857576876,-21.13188857576876
1e-08,1.0,-29.00199324216856,-29.00199324216856
1e-08,1.0,-28.560741578699147,-28.560741578699147
1e-08,1.0,-70.5825058251337,-70.5825058251337
1e-08,1.0,-40.84864693839294,-40.84864693839294
1e-08,1.0,-40.99804928510285,-40.99804928510285
1e-08,1.0,-29.026964504328333,-29.026964504328333
1e-08,1.0,-38.372501879746494,-38.372501879746494
1e-08,1.0,-29.31646456136237,-29.31646456136237
1.1341938011353258e-05,1.0,-19.044407249745504,-19.044407346446466
1e-08,1.0,-54.73666958266764,-54.73666958266764
1e-08,1.0,-36.599998193844904,-36.599998193844904
1e-08,1.0,-64.47231858264965,-64.47231858264965
1e-08,1.0,-22.218926234533093,-22.218926234533093
1e-08,1.0,-40.193672726662626,-40.193672726662626
1e-08,1.0,-32.839239485464084,-32.839239485464084
1.3837411385095173e-05,1.0,-42.778214474532156,-42.77821454253575
1e-08,1.0,-38.56978242734431,-38.56978242734431
1e-08,1.0,-22.565874126870675,-22.565874126870675
2.3937437960274832e-05,1.0,-106.39177588920096,-106.39177592000156
2.378553832825676e-05,1.0,-58.152042819812706,-58.152042821338014
1e-08,1.0,-46.871137459228365,-46.871137459228365
1e-08,1.0,-60.71457671660261,-60.71457671660261
1e-08,1.0,-32.69707719339909,-32.69707719339909
1e-08,1.0,-37.791776892902476,-37.791776892902476
1e-08,1.0,-31.447580142664265,-31.447580142664265
1e-08,1.0,-26.242155255875776,-26.242155255875776
2.2663644447218053e-05,1.0,-102.75668237896704,-102.75668237044967
1e-08,1.0,-41.33602702393923,-41.33602702393923
1e-08,1.0,-42.177690410499125,-42.177690410499125
1e-08,1.0,-28.880558325372217,-28.880558325372217
1e-08,1.0,-26.240403945839955,-26.240403945839955
1e-08,1.0,-34.86320097513744,-34.86320097513744
2.9771470873797375e-05,1.0,-78.92917336203693,-78.92917335675654
1e-08,1.0,-17.746010958291446,-17.746010958291446
1e-08,1.0,-54.47133930851498,-54.47133930851498
1.1348403109022012e-05,1.0,-27.140059502514006,-27.14005959912757
1e-08,1.0,-81.29600264627464,-81.29600264627464
1e-08,1.0,-44.333961552832115,-44.333961552832115
1e-08,1.0,-57.41158362742232,-57.41158362742232
1e-08,1.0,-31.716011821526745,-31.716011821526745
1e-08,1.0,-32.88718611335951,-32.88718611335951
1e-08,1.0,-17.582235070341977,-17.582235070341977
1e-08,1.0,-24.454193031152755,-24.454193031152755
1e-08,1.0,-15.381290965317836,-15.381290965317836
1e-08,1.0,-31.957574840567595,-31.957574840567595
1e-08,1.0,-70.0411274164453,-70.0411274164453
1e-08,1.0,-38.55766377429424,-38.55766377429424
1e-08,1.0,-48.148667877335484,-48.148667877335484
1.1886121810798233e-05,1.0,-49.74140466961489,-49.74140467536029
1.177936942279167e-05,1.0,-45.74151275100794,-45.74151275668259
2.3315607028832863e-05,1.0,-51.233520031397,-51.23352002710602
1e-08,1.0,-49.68386084122169,-49.68386084122169
1e-08,1.0,-52.97710648937596,-52.97710648937596
1e-08,1.0,-31.655581627786056,-31.655581627786056
1e-08,1.0,-39.56843566878878,-39.56843566878878
1e-08,1.0,-48.504310048621946,-48.504310048621946
1e-08,1.0,-66.7775493187139,-66.7775493187139
1e-08,1.0,-44.41728429938349,-44.41728429938349
1e-08,1.0,-56.298738624381365,-56.298738624381365
1.7472266880968495e-05,1.0,-52.85505569077329,-52.855055687117485
1e-08,1.0,-21.604905342733733,-21.604905342733733
1e-08,1.0,-22.69140079030876,-22.69140079030876
1e-08,1.0,-18.257615942399397,-18.257615942399397
1e-08,1.0,-38.64780919255308,-38.64780919255308
1e-08,1.0,-37.16436501544849,-37.16436501544849
1e-08,1.0,-19.915217152620553,-19.915217152620553
1.4135986937391483e-05,1.0,-51.32362743509286,-51.32362749974521
1.2019001962731724e-05,1.0,-53.865183163407146,-53.86518308725282
1e-08,1.0,-83.1361790259581,-83.1361790259581
3.486998446509991e-05,1.0,-56.29900564717008,-56.29900564852432
2.1737391807154123e-05,1.0,-82.98583585452585,-82.98583582698403
2.2788850972343484e-05,1.0,-125.83694607821458,-125.8369460706649
1e-08,1.0,-30.410794030317938,-30.410794030317938
1e-08,1.0,-14.484716904506781,-14.484716904506781
1e-08,1.0,-25.734072795937735,-25.734072795937735
1e-08,1.0,-39.593470724993324,-39.593470724993324
5.665356527434952e-05,1.0,-122.04520670420173,-122.04520672351235
1e-08,1.0,-65.07282097930215,-65.07282097930215
1.3145307196742548e-05,1.0,-56.196749838048866,-56.196749842117235
1e-08,1.0,-20.015294304456873,-20.015294304456873
1e-08,1.0,-40.96498464348298,-40.96498464348298
1e-08,0.9989835406590503,-38.053779484540456,-69.7037017260659
1.1318461908956443e-05,1.0,-34.412927249071686,-34.41292734619481
1e-08,1.0,-40.448862450461725,-40.448862450461725
1e-08,1.0,-63.78524610138046,-63.78524610138046
1e-08,1.0,-33.545550393891915,-33.545550393891915
2.3815973370108563e-05,1.0,-94.43621521898841,-94.43621522044991
1e-08,1.0,-32.428094431997074,-32.428094431997074
1.1223271031192373e-05,1.0,-28.318978933846545,-28.318979032666046
1.591693631570003e-05,1.0,-66.29573342195158,-66.29573343291526
1e-08,1.0,-54.35907718072257,-54.35907718072257
1e-08,1.0,-27.319843967285184,-27.319843967285184
1e-08,1.0,-14.04938721175056,-14.04938721175056
1e-08,1.0,-40.8521327224523,-40.8521327224523
1e-08,1.0,-42.82114551432825,-42.82114551432825
1e-08,1.0,-24.312389213272915,-24.312389213272915
1e-08,1.0,-33.484210365786055,-33.484210365786055
1e-08,1.0,-45.015493597114514,-45.015493597114514
1e-08,1.0,-9.36844031385298,-9.36844031385298
1e-08,1.0,-30.60187429985788,-30.60187429985788
1e-08,1.0,-23.253471540484387,-23.253471540484387
1e-08,1.0,-24.849366026369967,-24.849366026369967
1e-08,1.0,-28.593839930612717,-28.593839930612717
1e-08,1.0,-40.83155177472147,-40.83155177472147
1e-08,1.0,-52.59840162335348,-52.59840162335348
1e-08,1.0,-13.584093093315714,-13.584093093315714
1e-08,1.0,-37.361315207813185,-37.361315207813185
1e-08,1.0,-41.65240092608756,-41.65240092608756
1e-08,1.0,-23.115025034555924,-23.115025034555924
1e-08,1.0,-27.054151750736864,-27.054151750736864
1e-08,1.0,-24.319638426857455,-24.319638426857455
1.1230070672843182e-05,1.0,-28.51606163369009,-28.51606173241064
1.491648423198135e-05,1.0,-51.14190079278282,-51.141900841195344
1e-08,1.0,-55.47907401284651,-55.47907401284651
1e-08,1.0,-40.273118170708244,-40.273118170708244
1e-08,1.0,-26.603532745026595,-26.603532745026595
1e-08,1.0,-23.44979145149089,-23.44979145149089
1e-08,1.0,-38.51425058482381,-38.51425058482381
1e-08,1.0,-22.440661374696685,-22.440661374696685
1e-08,1.0,-20.830140530254397,-20.830140530254397
1e-08,1.0,-60.0075909228599,-60.0075909228599
1e-08,1.0,-30.442976625322192,-30.442976625322192
1e-08,1.0,-36.656727083301654,-36.656727083301654
1e-08,1.0,-58.80316075550363,-58.80316075550363
1e-08,1.0,-76.06162772334416,-76.06162772334416
1e-08,1.0,-51.406994235415326,-51.406994235415326
1e-08,1.0,-36.650478825504436,-36.650478825504436
1e-08,1.0,-37.918929004790925,-37.918929004790925
1e-08,1.0,-46.53776992069373,-46.53776992069373
1e-08,1.0,-38.86556733110988,-38.86556733110988
1e-08,1.0,-61.48221483910125,-61.48221483910125
3.484754784545893e-05,1.0,-48.42463590571662,-48.42463590722833
1e-08,1.0,-16.812038617571787,-16.812038617571787
1e-08,1.0,-75.27435254520613,-75.27435254520613
1e-08,1.0,-44.384275606579756,-44.384275606579756
1e-08,1.0,-41.960867278977865,-41.960867278977865
1e-08,1.0,-55.212473471027906,-55.212473471027906
1e-08,1.0,-38.646613398206675,-38.646613398206675
1e-08,1.0,-25.38320924469637,-25.38320924469637
1e-08,1.0,-29.86572129976031,-29.86572129976031
1e-08,1.0,-60.764018074231174,-60.764018074231174
1e-08,1.0,-17.19050368864418,-17.19050368864418
1e-08,1.0,-29.89927425729051,-29.89927425729051
1e-08,1.0,-23.952705767041678,-23.952705767041678
1e-08,1.0,-32.204803182050085,-32.204803182050085
1e-08,1.0,-37.40121872565449,-37.40121872565449
1.1537239992946705e-05,1.0,-45.221916737321045,-45.22191674294427
1e-08,1.0,-34.102399395219265,-34.102399395219265
1.2572848546803526e-05,1.0,-42.74543502085735,-42.745435003516256
1e-08,1.0,-27.547710211843786,-27.547710211843786
1e-08,1.0,-31.439676681189663,-31.439676681189663
8.119494155307593e-06,1.0,-44.4972753339304,-44.498733542315925
1e-08,1.0,-20.36979167038699,-20.36979167038699
1e-08,1.0,-22.533718085704063,-22.533718085704063
1e-08,1.0,-44.267124044349266,-44.267124044349266
