est_e,est_s,log_likelihood,log_likelihood_null
2.1302171085855664e-05,0.9999445891148789,-70.66858772969375,-75.10077371359904
2.415648804949968e-05,1.0,-64.85840916601339,-64.85840912232945
1e-08,1.0,-57.86939110716478,-57.86939110716478
1e-08,1.0,-23.242020241044834,-23.242020241044834
1e-08,1.0,-36.045293559471894,-36.045293559471894
1e-08,1.0,-43.647993048044874,-43.647993048044874
1e-08,1.0,-54.79464517105119,-54.79464517105119
8.461728445184544e-06,1.0,-78.60576303736141,-78.60659964949046
1e-08,1.0,-50.327499820326544,-50.327499820326544
1e-08,0.9999998006614214,-67.06009021420297,-67.06010086400909
1e-08,1.0,-9.657123158831547,-9.657123158831547
1e-08,1.0,-58.39657266571949,-58.39657266571949
1.1500464315288954e-05,1.0,-33.24081233292259,-33.24081233853272
1e-08,1.0,-26.438153821659274,-26.438153821659274
1e-08,1.0,-44.38882578166816,-44.38882578166816
2.2567525039208873e-05,1.0,-64.71604260917206,-64.71604259977258
6.742143812748704e-06,0.9999511175790174,-53.50988625773146,-53.98185248617148
1e-08,1.0,-11.12212073093662,-11.12212073093662
1e-08,1.0,-99.75774733787058,-99.75774733787058
1e-08,1.0,-65.8714613961707,-65.8714613961707
1e-08,1.0,-20.10584132406978,-20.10584132406978
2.2473669982943795e-05,1.0,-52.316804738938615,-52.31680472863712
1e-08,1.0,-49.232496058059574,-49.232496058059574
1e-08,1.0,-30.064219278115594,-30.064219278115594
1e-08,1.0,-67.63393069630555,-67.63393069630555
1e-08,1.0,-24.070310976575623,-24.070310976575623
1e-08,1.0,-66.36184991977012,-66.36184991977012
1.003740101951858e-05,1.0,-61.216222876122195,-61.21622288847633
1.1287790870709034e-05,1.0,-53.03944164509991,-53.03944164446243
1e-08,1.0,-24.35092609284805,-24.35092609284805
1e-08,1.0,-67.44004335184646,-67.44004335184646
1e-08,1.0,-68.82818890118932,-68.82818890118932
1.2485710703395206e-05,0.9999582139563592,-34.84858220126274,-35.50711568989493
1e-08,1.0,-51.55034993619495,-51.55034993619495
1.5100577670361915e-05,1.0,-73.73646922121476,-73.7364692674356
1e-08,1.0,-77.99971104865598,-77.99971104865598
1.1238758998026065e-05,1.0,-34.21244883291093,-34.212448931461665
1.728474348559273e-06,1.0,-59.08029275642478,-59.079202192319016
1e-08,1.0,-34.712421919448126,-34.712421919448126
1e-08,1.0,-48.64437655747993,-48.64437655747993
1e-08,1.0,-55.96351503049338,-55.96351503049338
1e-08,1.0,-59.31085862876669,-59.31085862876669
1e-08,1.0,-48.979271451560265,-48.979271451560265
1e-08,1.0,-57.088470244241364,-57.088470244241364
1e-08,1.0,-37.912894656981045,-37.912894656981045
1e-08,1.0,-67.05701708240248,-67.05701708240248
2.2490541395712756e-05,1.0,-45.72797466952017,-45.727974658967646
1.7282241180174585e-05,1.0,-64.61075638633916,-64.61075638408914
1e-08,1.0,-34.14978954697855,-34.14978954697855
1e-08,1.0,-85.01790463041428,-85.01790463041428
1e-08,1.0,-37.32252313683778,-37.32252313683778
1e-08,1.0,-38.297380596614275,-38.297380596614275
2.106024295102689e-05,1.0,-93.44447591834218,-93.44447587951512
1e-08,1.0,-59.3699323161094,-59.3699323161094
1e-08,1.0,-40.99070794167605,-40.99070794167605
1e-08,1.0,-51.51877863635634,-51.51877863635634
1.1737537244801824e-05,1.0,-42.62705910595665,-42.627059105771764
1e-08,1.0,-39.954864936720156,-39.954864936720156
1e-08,1.0,-47.07166983768611,-47.07166983768611
1e-08,1.0,-96.69840227989435,-96.69840227989435
1.6012466296611368e-05,0.99999652395033,-105.58299059759462,-105.58687334961141
1e-08,1.0,-79.51985355424088,-79.51985355424088
1e-08,1.0,-56.54463238117878,-56.54463238117878
1e-08,1.0,-39.64792106116692,-39.64792106116692
1e-08,1.0,-53.111092161779766,-53.111092161779766
1e-08,1.0,-52.26192087941389,-52.26192087941389
1.136374151142753e-05,1.0,-28.4099656860451,-28.4099657823458
1e-08,1.0,-104.95801615661527,-104.95801615661527
1e-08,1.0,-54.35635527881817,-54.35635527881817
1e-08,1.0,-39.53251520894481,-39.53251520894481
1e-08,1.0,-20.177160205885453,-20.177160205885453
1e-08,1.0,-50.344596810961946,-50.344596810961946
1e-08,1.0,-36.36120703066127,-36.36120703066127
1e-08,1.0,-39.38934186105298,-39.38934186105298
4.557931918978765e-05,0.9999729468527663,-85.65287003391319,-86.00113345519632
7.4660235519923615e-06,1.0,-55.66028545524909,-55.65746752315308
2.27079029681641e-05,1.0,-65.62584690465629,-65.62584689606368
1e-08,1.0,-39.954864936720156,-39.954864936720156
1e-08,1.0,-32.19696589946286,-32.19696589946286
1e-08,1.0,-50.177400910139085,-50.177400910139085
1e-08,1.0,-58.11414847762645,-58.11414847762645
1e-08,1.0,-43.86550627552908,-43.86550627552908
1e-08,1.0,-41.58666949034487,-41.58666949034487
1e-08,1.0,-75.9483096679181,-75.9483096679181
1e-08,1.0,-19.95409740482226,-19.95409740482226
1e-08,1.0,-84.19336496907076,-84.19336496907076
1e-08,1.0,-25.227460858985022,-25.227460858985022
1e-08,1.0,-46.05221005095793,-46.05221005095793
1.2359740843794328e-05,1.0,-58.2544536272755,-58.25445356103477
1e-08,0.9999609380643896,-51.94123029252559,-52.51101128970651
1.1392674402948036e-05,1.0,-41.42714279062189,-41.427142886421095
1e-08,0.9999971061557714,-52.36581842090215,-52.36801976386227
1e-08,1.0,-77.98170629665083,-77.98170629665083
2.3849631348315917e-05,1.0,-59.0598441857739,-59.05984418708478
1e-08,1.0,-66.19139773951537,-66.19139773951537
1e-08,1.0,-43.697905777672965,-43.697905777672965
1e-08,1.0,-50.891498595995635,-50.891498595995635
1e-08,1.0,-70.28450229690954,-70.28450229690954
1.1615304087198569e-05,1.0,-64.9328762011758,-64.93287620685273
1e-08,1.0,-44.46276740832028,-44.46276740832028
1e-08,1.0,-14.858067184136498,-14.858067184136498
1e-08,1.0,-38.57142163532656,-38.57142163532656
1e-08,1.0,-66.12473839606096,-66.12473839606096
1.1377843417660605e-05,1.0,-48.7519889323282,-48.75198902843692
1e-08,1.0,-20.570444055068872,-20.570444055068872
1e-08,1.0,-22.76006641756553,-22.76006641756553
1e-08,1.0,-63.26559326360814,-63.26559326360814
1e-08,1.0,-64.63470566865793,-64.63470566865793
1e-08,1.0,-43.253517308225966,-43.253517308225966
1e-08,1.0,-37.299711489954596,-37.299711489954596
1e-08,1.0,-37.62491685811042,-37.62491685811042
1e-08,1.0,-55.84252714397467,-55.84252714397467
1e-08,1.0,-27.94361252603241,-27.94361252603241
1e-08,1.0,-62.50425381432446,-62.50425381432446
1e-08,1.0,-19.05387635919208,-19.05387635919208
1e-08,1.0,-59.96776298274027,-59.96776298274027
1e-08,1.0,-22.255680040089985,-22.255680040089985
1e-08,1.0,-49.340144925114004,-49.340144925114004
4.4797767962023094e-05,1.0,-52.278448284428784,-52.2784482826254
1e-08,1.0,-47.36273576800454,-47.36273576800454
1e-08,1.0,-60.46424639137052,-60.46424639137052
1e-08,1.0,-38.90626902882602,-38.90626902882602
1.1664525954606433e-05,1.0,-43.990515753346806,-43.99051575899237
1e-08,1.0,-12.414299665438392,-12.414299665438392
1e-08,1.0,-48.414815952943044,-48.414815952943044
1e-08,1.0,-40.24058867549143,-40.24058867549143
1e-08,1.0,-35.590773102720306,-35.590773102720306
1e-08,1.0,-105.85199940625515,-105.85199940625515
1e-08,1.0,-47.50118083773042,-47.50118083773042
1e-08,1.0,-35.8291727810777,-35.8291727810777
9.653340796288085e-06,1.0,-59.83804730766878,-59.83814751599525
1e-08,1.0,-41.61812186296383,-41.61812186296383
1e-08,1.0,-25.30199994181342,-25.30199994181342
1.1400433329953879e-05,1.0,-42.861021423263544,-42.86102151893201
1.2658426693351398e-05,1.0,-55.14393921933533,-55.14393916939987
1e-08,1.0,-53.593500562040944,-53.593500562040944
1e-08,1.0,-26.77444851989615,-26.77444851989615
2.993677571801942e-06,0.9999967951557519,-91.99109433688481,-91.99450431286797
1e-08,1.0,-43.77826760096252,-43.77826760096252
1e-08,1.0,-72.26010378352059,-72.26010378352059
1e-08,1.0,-16.008490269434827,-16.008490269434827
1.1634357516299835e-05,1.0,-27.46948732957898,-27.469487335236625
1e-08,1.0,-63.818958549478246,-63.818958549478246
1e-08,0.999921662621348,-47.57705184024739,-48.612679561750696
1e-08,1.0,-51.56557557924618,-51.56557557924618
1e-08,1.0,-49.03476923828669,-49.03476923828669
1e-08,1.0,-43.52403177882087,-43.52403177882087
1e-08,1.0,-67.53914376237707,-67.53914376237707
1e-08,1.0,-15.872094454095093,-15.872094454095093
1e-08,1.0,-39.23536566045527,-39.23536566045527
1e-08,1.0,-79.3313907649473,-79.3313907649473
1e-08,1.0,-37.29073952100451,-37.29073952100451
1.1233762122748483e-05,1.0,-30.914643803899295,-30.914643803453888
1e-08,1.0,-5.919694156822037,-5.919694156822037
1e-08,1.0,-28.77493373169599,-28.77493373169599
1e-08,1.0,-91.84109924957629,-91.84109924957629
1e-08,1.0,-18.242644813032527,-18.242644813032527
1e-08,1.0,-27.088704183003596,-27.088704183003596
1e-08,1.0,-57.651623622831586,-57.651623622831586
1e-08,1.0,-52.76083698939575,-52.76083698939575
1e-08,1.0,-38.77933247806047,-38.77933247806047
1e-08,1.0,-47.44913357322358,-47.44913357322358
1e-08,1.0,-48.28012601383503,-48.28012601383503
1e-08,1.0,-65.78029562265272,-65.78029562265272
1e-08,1.0,-55.02162230271476,-55.02162230271476
1.198260560217471e-05,1.0,-58.615708923738225,-58.61570884712387
1.1298740588220177e-05,1.0,-38.40580531654853,-38.4058054140149
1e-08,1.0,-43.07417514951896,-43.07417514951896
3.4489436729933746e-05,1.0,-53.956864806528074,-53.95686480645582
1e-08,1.0,-24.630059210743156,-24.630059210743156
1e-08,1.0,-41.470615438460605,-41.470615438460605
1.4314371506965494e-05,1.0,-79.60230509892483,-79.60230516486976
1e-08,1.0,-28.8513114664633,-28.8513114664633
1.8305069437272178e-07,1.0,-97.18007197129647,-97.18007197053025
1.19035655049714e-05,0.9999282159645188,-42.26064502050291,-42.47700577043042
1e-08,1.0,-46.749240260080526,-46.749240260080526
1e-08,1.0,-35.86807893092456,-35.86807893092456
1e-08,1.0,-15.563783511859596,-15.563783511859596
1.833691961593903e-05,1.0,-80.86827543882274,-80.86827545414572
1e-08,1.0,-37.196259468665936,-37.196259468665936
1e-08,1.0,-58.8820792029888,-58.8820792029888
1e-08,1.0,-43.96582930591237,-43.96582930591237
1e-08,1.0,-70.7945717368663,-70.7945717368663
1.1914510546156583e-05,1.0,-52.859185105658824,-52.85918503040165
1e-08,0.9999995755122489,-67.40760208699768,-67.40764075942788
8.210755839233686e-06,1.0,-78.5958998975288,-78.59653278364694
1e-08,1.0,-28.529290402605614,-28.529290402605614
2.5429114905809835e-06,0.9999182800503849,-62.29126831297873,-64.08431617822751
1e-08,1.0,-69.82265041048952,-69.82265041048952
1e-08,1.0,-40.77439475966926,-40.77439475966926
1e-08,1.0,-48.48152590425992,-48.48152590425992
1e-08,1.0,-78.25151710756458,-78.25151710756458
1e-08,1.0,-69.57880315928404,-69.57880315928404
1e-08,1.0,-50.83163450028449,-50.83163450028449
4.249164793098944e-05,0.9998741006173929,-76.50179407854448,-76.08557816950639
1e-08,1.0,-31.841186487515337,-31.841186487515337
1.1661518306005805e-05,1.0,-56.63420328934047,-56.63420328898623
1e-08,1.0,-85.9805545393369,-85.9805545393369
1e-08,1.0,-33.82051217828021,-33.82051217828021
1e-08,1.0,-59.39448899747502,-59.39448899747502
1e-08,1.0,-45.14095414467016,-45.14095414467016
1e-08,1.0,-42.793749846144834,-42.793749846144834
1e-08,1.0,-31.121654075785933,-31.121654075785933
3.4063940687653344e-05,1.0,-60.532084636474515,-60.53208463611133
1e-08,1.0,-51.46999167243237,-51.46999167243237
1e-08,0.9999689596657985,-70.42335209435849,-71.07217153020042
1e-08,1.0,-33.53411321712842,-33.53411321712842
1e-08,1.0,-24.747468706807027,-24.747468706807027
1e-08,1.0,-37.28789605943762,-37.28789605943762
1e-08,1.0,-15.658095486782582,-15.658095486782582
1e-08,1.0,-60.405624318943374,-60.405624318943374
1e-08,1.0,-19.18923161296408,-19.18923161296408
1e-08,1.0,-42.5905796375785,-42.5905796375785
1e-08,1.0,-63.49216406848163,-63.49216406848163
1e-08,1.0,-37.32252340683862,-37.32252340683862
1e-08,1.0,-26.10498943918433,-26.10498943918433
1e-08,1.0,-64.5223344646781,-64.5223344646781
1e-08,1.0,-80.14609845040177,-80.14609845040177
2.2393387315261515e-05,1.0,-30.995504906945044,-30.995504895763325
1e-08,1.0,-26.812326700455575,-26.812326700455575
1e-08,1.0,-55.20066235389652,-55.20066235389652
1e-08,1.0,-8.743240336361595,-8.743240336361595
1e-08,1.0,-29.915148428361253,-29.915148428361253
1e-08,1.0,-70.21409530748889,-70.21409530748889
1e-08,1.0,-36.36088367814111,-36.36088367814111
1.7584226792981516e-05,1.0,-32.03610439606023,-32.03610439576854
1e-08,1.0,-23.805689480662,-23.805689480662
1e-08,1.0,-22.19620216487151,-22.19620216487151
1.4041803688762506e-05,1.0,-77.68246767775055,-77.68246767784238
1e-08,1.0,-49.8731804292145,-49.8731804292145
