est_e,est_s,log_likelihood,log_likelihood_null
1e-08,1.0,-43.689750397455676,-43.689750397455676
1.2055568522316603e-05,1.0,-49.96621011833433,-49.96621004594467
1e-08,1.0,-57.24935238218454,-57.24935238218454
1e-08,1.0,-42.76962231574214,-42.76962231574214
1e-08,1.0,-59.50621913842235,-59.50621913842235
1e-08,1.0,-30.54942633016983,-30.54942633016983
1e-08,1.0,-75.00635853562054,-75.00635853562054
1.824857447630325e-05,1.0,-78.94471026090065,-78.94471024154684
1e-08,1.0,-69.74052584464995,-69.74052584464995
1e-08,1.0,-61.693099087820514,-61.693099087820514
1e-08,1.0,-25.794790919235034,-25.794790919235034
1.2762260651006721e-05,1.0,-58.36996238985602,-58.369962386034096
1e-08,1.0,-57.94247078268659,-57.94247078268659
1e-08,1.0,-45.76578694204065,-45.76578694204065
1e-08,1.0,-14.395894017289471,-14.395894017289471
1e-08,1.0,-49.79904635653292,-49.79904635653292
1e-08,1.0,-35.883751454473064,-35.883751454473064
1e-08,1.0,-38.09678909993289,-38.09678909993289
1.446347702921155e-05,1.0,-56.905072790716105,-56.905072851701696
1e-08,1.0,-58.32160647048686,-58.32160647048686
5.6050417439050225e-05,1.0,-96.53877896225174,-96.538778962259
4.7720233023823e-05,1.0,-99.33126623042435,-99.33126624303407
1e-08,1.0,-77.13744187209261,-77.13744187209261
1.6275683218419535e-05,1.0,-52.687413680357274,-52.68741368004789
1.2634409673541091e-05,1.0,-39.26585789371307,-39.26585788988597
1e-08,1.0,-33.39014568375857,-33.39014568375857
1e-08,1.0,-78.92941719222692,-78.92941719222692
1e-08,1.0,-42.82846715946768,-42.82846715946768
1e-08,1.0,-37.44096939267844,-37.44096939267844
1e-08,1.0,-25.01574528302429,-25.01574528302429
1.1424396669294904e-05,1.0,-53.94154346645269,-53.94154356169994
3.363798387094729e-05,1.0,-79.22696255318839,-79.22696255298663
1e-08,1.0,-34.87241974790463,-34.87241974790463
1e-08,1.0,-39.987571010438266,-39.987571010438266
1e-08,1.0,-59.56572620181829,-59.56572620181829
1e-08,1.0,-42.148220019259384,-42.148220019259384
1e-08,1.0,-42.63587976123536,-42.63587976123536
5.941233038164988e-06,1.0,-68.8257646568939,-68.8280882496893
1e-08,1.0,-32.39826798370269,-32.39826798370269
1e-08,1.0,-44.97780524619378,-44.97780524619378
1e-08,1.0,-31.56440972080567,-31.56440972080567
4.2460885826110194e-05,1.0,-86.21305948327834,-86.213059496038
1e-08,1.0,-58.7058859727537,-58.7058859727537
1e-08,1.0,-33.051757606184424,-33.051757606184424
1e-08,1.0,-67.61941541044852,-67.61941541044852
1e-08,1.0,-29.77433202384291,-29.77433202384291
