est_e,est_s,log_likelihood,log_likelihood_null,mmpp
5.761068584385032e-05,0.9999620576045313,-91.22665410679075,-101.29468857194409,0.9835583177723096
6.867538910083346e-05,0.9999596849538723,-88.00557539652326,-92.18127184125514,0.9481783738150651
5.624677217829388e-05,0.9999520173097133,-121.50981492719103,-152.55979916694045,0.9471970180996945
9.990001603304462e-05,0.9999632619699675,-129.24474978948317,-132.7357092208708,0.9504374079705787
5.1002796610205816e-05,0.9999349591757608,-82.34057815629411,-117.74100623655464,0.9074584846077671
6.946844459489441e-05,0.999902023316267,-106.16101328872396,-193.95936059417272,0.7996066091614695
7.544193487549979e-05,0.9999663498498393,-89.60489301323611,-91.01995375370225,0.9484059365514682
3.3657827279161455e-05,0.9999614129635409,-50.789430449073485,-145.89628939066887,0.9792602986214173
3.7683289882628696e-05,0.9998891277389549,-72.49880927532728,-84.30131986730265,0.8013740277969141
9.111252293213175e-05,1.0,-107.93379452670348,-107.93379452717582,0.9999353068470282
5.6462082651099177e-05,0.99996239587309,-80.68163164821854,-170.78573466598797,0.9742236546579319
1.3703434426907177e-05,0.9999584350564585,-72.37320246389594,-109.48655794173857,0.9657277029874771
7.813532241685916e-05,0.9999515089456606,-99.85950268738553,-107.54496610462517,0.9052883587952522
5.6163735470789255e-05,0.999960436178879,-79.19740172683568,-92.99573396090422,0.927122131919187
8.944356492492351e-05,0.9999598366399737,-99.09445602903739,-198.84442424813187,0.979702775118699
5.385205942255949e-05,0.9999609599421404,-121.40550218023735,-217.19117116643267,0.980529086656982
5.634961321167789e-05,0.9999563194757466,-74.42298801149376,-143.1033022373969,0.9700955057510703
5.6413783688379026e-05,0.9999516802106116,-123.91553376538346,-136.666318615795,0.9023537636471909
2.2512658228457817e-05,0.9999604612412695,-40.81505624869693,-118.76913009306139,0.9652480363392056
2.287550194413889e-05,0.9999558624890895,-51.76424086376882,-149.09611646802972,0.8534342834785774
5.782524761432739e-05,0.999960684123195,-106.53926336900527,-112.98291875814446,0.9404982697506934
3.4107181785818356e-05,0.9999619172628549,-55.720965530736706,-56.56250454107502,0.8916655765307568
4.5780302560708006e-05,0.9999624848132574,-77.91428452596574,-89.97662146022748,0.9755167894856094
3.4473149919736754e-05,0.9999605235957678,-80.67488132894762,-138.87238655816685,0.9617514433565321
5.925277433963926e-05,0.999961260272744,-105.55942915154897,-124.36524206353997,0.9475804578981782
6.291310999546068e-05,0.9999534149885336,-93.30436893330386,-195.1092311357334,0.9048742380342332
6.809030633443732e-05,0.9999324406762022,-114.22509763010633,-123.85976161410106,0.7983562416696183
5.8905630767921326e-05,0.9997245912478757,-72.49428948260281,-85.20984264409353,0.41321515870500714
2.2917568348592264e-05,1.0,-58.25680105685138,-58.256801050011966,1.0
0.00010401118077110587,0.9999572489170097,-110.35169169632343,-126.41913587566495,0.9101667508081058
6.745378489844549e-05,1.0,-141.2417337735197,-141.24173377374012,1.0
3.4588492082548864e-05,1.0,-55.595684276287,-55.59568427625502,1.0
7.945258056377068e-05,0.999963138090094,-109.32136634063035,-111.38885603733107,0.8380199297398186
6.556400537998129e-05,0.9999437820502604,-109.33511503891206,-116.94952654147221,0.9453029453925151
5.829567857947534e-05,0.9999575326140802,-106.17537160003693,-113.33946833321221,0.9275484823626587
5.732450028411043e-05,0.9999623666550442,-90.00799083284643,-98.45062977111338,0.9145890535432178
5.6646496007965514e-05,0.9999556567456773,-76.06858301774992,-93.78159525366485,0.915479874694481
8.044632377930397e-05,0.999956727206016,-99.59812817027252,-222.33078760537325,0.942055494759287
6.0424737241603e-05,0.9999602260801395,-104.57475707512664,-164.32077509144264,0.9750575611179642
6.595975342825563e-05,0.999900848472809,-106.65842024053912,-180.9736243063526,0.8586033360458031
4.5537950873887334e-05,0.9999630210008532,-98.24912538775585,-175.87337724498153,0.9817789953678469
3.478269888229611e-05,0.9999608070409773,-55.91606783086531,-65.92996623681944,0.9415922811858257
6.855808911190732e-05,0.9999571991114197,-108.04487845931614,-127.84429252608714,0.9353610998841062
3.4468950408108126e-05,0.9999586741859087,-53.78711795253275,-61.412430247159584,0.8666098757298654
3.44794089902661e-05,0.9999594274632961,-82.17950938206671,-97.97295964412581,0.8553581011358374
2.3125714175576174e-05,1.0,-54.85312958466639,-54.853129579599525,0.999999992917686
3.3846231736018274e-05,0.9998480437067394,-61.8324182616095,-117.52464243846497,0.6618343323580768
